Time_s,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
392.6,94.72,13.219,0.858,0.23,29.13
396.2,94.68,13.243,0.659,0.191,29.51
399.8,94.63,13.242,0.77,0.255,29.4
403.4,94.58,13.256,0.805,0.237,29.37
407.0,94.53,13.236,0.77,0.21,29.16
410.6,94.48,13.242,0.712,0.231,29.35
414.2,94.43,13.235,0.859,0.242,29.1
417.8,94.38,13.182,1.313,0.544,29.61
421.4,94.33,13.2,0.999,0.442,29.65
425.0,94.28,13.204,0.842,0.266,29.64
428.6,94.23,13.197,0.886,0.304,29.47
432.2,94.18,13.231,0.809,0.216,29.03
435.8,94.13,13.234,0.567,0.0,29.26
439.4,94.08,13.239,0.369,0.0,29.58
443.0,94.04,13.176,0.799,0.265,29.13
446.6,93.99,13.259,0.514,0.16,29.19
450.2,93.94,13.22,0.385,0.0,29.44
453.8,93.89,13.241,0.808,0.256,29.43
457.4,93.84,13.197,0.612,0.124,29.73
461.0,93.79,13.17,1.321,0.473,29.34
464.6,93.74,13.154,1.195,0.428,29.24
468.2,93.69,13.177,1.468,0.636,29.78
471.8,93.64,13.16,1.346,0.606,29.26
475.4,93.59,13.149,1.545,0.658,29.53
479.0,93.54,13.148,1.437,0.642,29.51
482.6,93.49,13.185,1.317,0.614,29.69
486.2,93.44,13.183,1.311,0.642,29.61
489.8,93.39,13.189,1.501,0.698,29.64
493.4,93.34,13.144,1.614,0.717,29.51
497.0,93.29,13.149,1.76,0.723,29.88
500.7,93.24,13.14,1.448,0.637,30.34
504.3,93.19,13.156,1.383,0.625,29.65
507.9,93.14,13.14,1.632,0.814,29.62
511.5,93.09,13.154,1.615,0.722,29.33
515.1,93.04,13.166,1.508,0.754,29.43
518.7,92.99,13.143,1.929,0.897,29.66
522.3,92.94,13.109,2.034,0.954,29.63
525.9,92.9,13.13,2.145,1.065,29.77
529.5,92.85,13.125,1.899,0.932,30.05
533.1,92.8,13.115,1.988,0.964,29.97
536.7,92.75,13.111,1.916,0.929,29.67
540.3,92.7,13.117,1.812,0.899,29.42
543.9,92.65,13.125,2.305,1.075,30.1
547.5,92.6,13.115,2.048,1.047,29.73
551.1,92.55,13.102,2.238,1.082,29.47
554.7,92.5,13.126,1.602,0.871,29.73
558.3,92.45,13.13,2.306,1.079,30.04
561.9,92.4,13.105,2.433,1.182,29.39
565.5,92.35,13.08,2.294,1.175,29.67
569.1,92.3,13.087,2.268,1.135,29.8
572.7,92.25,13.078,2.425,1.205,30.02
576.3,92.2,13.074,2.59,1.346,29.83
579.9,92.15,13.039,3.01,1.555,29.92
583.5,92.1,13.054,3.01,1.655,30.23
587.1,92.05,13.067,3.043,1.663,30.0
590.7,92.0,13.006,3.394,1.781,30.33
594.3,91.95,13.002,3.504,1.875,30.03
597.9,91.9,13.016,3.382,1.884,29.94
601.5,91.84,13.007,3.544,1.974,30.42
605.1,91.79,13.036,3.667,2.062,30.36
608.7,91.74,13.015,3.762,2.054,30.53
612.3,91.69,13.025,3.51,1.991,30.15
615.9,91.64,12.994,3.748,2.068,30.18
619.5,91.59,12.997,3.641,1.946,30.58
623.1,91.54,12.995,3.3,1.8,29.88
626.7,91.49,13.02,3.449,1.838,30.49
630.3,91.44,13.014,3.46,1.911,30.51
633.9,91.39,13.021,3.52,1.947,30.44
637.5,91.34,12.995,3.566,1.997,30.14
641.1,91.29,13.006,3.324,1.749,30.03
644.7,91.24,13.01,3.313,1.82,30.15
648.3,91.19,13.001,3.693,1.997,30.07
651.9,91.14,12.958,3.802,2.099,30.17
655.5,91.09,12.987,3.862,2.197,30.51
659.1,91.04,12.971,3.926,2.225,30.54
662.7,90.99,12.944,4.126,2.257,30.27
666.3,90.94,12.933,4.006,2.239,30.57
669.9,90.89,12.961,3.996,2.285,30.52
673.5,90.84,12.989,3.89,2.158,30.7
677.1,90.79,12.978,4.146,2.336,30.6
680.7,90.74,12.951,4.257,2.237,30.74
684.3,90.68,12.975,4.23,2.339,30.61
687.9,90.63,12.933,4.432,2.498,30.78
691.5,90.58,12.93,4.767,2.599,30.45
695.1,90.53,12.902,4.868,2.879,30.71
698.7,90.48,12.876,5.348,2.638,30.9
702.4,90.43,13.08,1.18,0.0,29.4
706.0,90.38,13.085,0.644,0.157,29.35
709.6,90.33,13.15,0.312,0.007,29.27
713.2,90.28,13.116,0.382,0.0,29.25
716.8,90.23,13.101,0.617,0.063,29.22
720.4,90.18,13.102,0.444,0.0,29.04
724.0,90.13,13.12,0.359,0.007,29.38
727.6,90.08,13.143,0.462,0.062,29.27
731.2,90.02,13.145,0.491,0.078,29.0
734.8,89.97,13.081,0.612,0.106,29.21
738.4,89.92,13.102,0.556,0.021,28.88
742.0,89.87,13.09,0.561,0.045,29.24
745.6,89.82,13.124,0.448,0.0,29.15
749.2,89.77,13.119,0.318,0.0,29.03
752.8,89.72,13.097,0.453,0.1,29.51
756.4,89.67,13.105,0.468,0.0,28.97
760.0,89.62,13.103,0.315,0.0,29.29
763.6,89.57,13.121,0.554,0.09,29.67
767.2,89.51,13.098,0.652,0.114,29.48
770.8,89.46,13.093,0.763,0.273,29.3
774.4,89.41,13.048,0.633,0.181,29.03
778.0,89.36,13.084,0.663,0.169,29.0
781.6,89.31,13.111,0.743,0.18,29.22
785.2,89.26,13.1,0.703,0.109,29.15
788.8,89.21,13.063,0.454,0.002,29.05
792.4,89.16,13.079,0.564,0.098,29.17
796.0,89.1,13.075,0.365,0.0,29.15
799.6,89.05,13.119,0.314,0.0,29.25
803.2,89.0,13.092,0.387,0.0,28.93
806.8,88.95,13.064,0.623,0.111,29.12
810.4,88.9,13.079,0.531,0.047,29.19
814.0,88.85,13.052,0.244,0.0,29.09
817.6,88.8,13.068,0.348,0.0,29.53
821.2,88.75,13.072,0.566,0.043,29.29
824.8,88.69,13.09,0.432,0.002,28.87
828.4,88.64,13.04,0.561,0.13,29.32
832.0,88.59,13.038,1.041,0.264,29.51
835.6,88.54,13.067,0.85,0.248,29.31
839.2,88.49,13.008,1.263,0.482,29.24
842.8,88.44,13.032,1.252,0.491,29.83
846.4,88.39,13.02,1.405,0.62,29.32
850.0,88.33,13.043,1.417,0.66,29.67
853.6,88.28,12.997,1.724,0.698,29.69
857.2,88.23,13.014,1.372,0.507,29.64
860.8,88.18,13.041,1.105,0.373,29.77
864.4,88.13,13.012,1.011,0.338,29.51
868.0,88.08,13.022,1.116,0.47,29.32
871.6,88.03,13.006,1.323,0.512,29.73
875.2,87.97,13.02,1.107,0.478,29.31
878.8,87.92,13.021,1.357,0.552,29.55
882.4,87.87,13.014,1.389,0.68,29.27
886.0,87.82,12.995,1.333,0.681,29.3
889.6,87.77,12.995,1.567,0.707,29.6
893.2,87.72,13.018,1.486,0.718,29.64
896.8,87.66,12.986,1.404,0.712,29.2
900.5,87.61,12.995,1.481,0.618,29.66
904.1,87.56,12.993,1.402,0.516,29.37
907.7,87.51,12.988,1.505,0.589,29.83
911.3,87.46,12.96,1.555,0.72,29.52
914.9,87.41,13.006,1.515,0.685,29.35
918.5,87.35,12.964,1.679,0.648,29.65
922.1,87.3,13.041,0.652,0.0,29.09
925.7,87.25,13.026,0.413,0.0,29.44
929.3,87.2,13.011,0.684,0.164,29.29
932.9,87.15,13.042,0.589,0.077,29.22
936.5,87.1,13.042,0.498,0.0,29.34
940.1,87.04,13.008,0.91,0.29,29.16
943.7,86.99,13.02,0.811,0.223,29.07
947.3,86.94,13.012,0.624,0.036,29.35
950.9,86.89,13.02,0.511,0.0,29.01
954.5,86.84,13.003,0.634,0.095,29.05
958.1,86.79,13.013,0.865,0.175,29.52
961.7,86.73,12.99,0.824,0.283,29.44
965.3,86.68,13.022,0.807,0.166,29.08
968.9,86.63,12.981,1.048,0.327,29.29
972.5,86.58,12.96,1.54,0.495,29.41
976.1,86.53,12.975,1.428,0.67,29.9
979.7,86.47,12.961,1.469,0.701,29.74
983.3,86.42,12.952,1.51,0.657,29.49
986.9,86.37,12.957,1.458,0.604,29.67
990.5,86.32,12.978,1.284,0.416,29.23
994.1,86.27,12.968,0.996,0.351,29.26
997.7,86.22,12.991,0.662,0.064,29.3
1001.3,86.16,13.0,0.501,0.0,29.32
1004.9,86.11,13.011,0.504,0.03,29.21
1008.5,86.06,13.004,0.324,0.0,29.21
1012.1,86.01,13.018,0.579,0.024,29.27
1015.7,85.96,12.981,0.706,0.109,29.27
1019.3,85.9,12.978,0.717,0.155,29.24
1022.9,85.85,12.976,0.728,0.191,29.22
1026.5,85.8,12.958,0.732,0.181,29.35
1030.1,85.75,12.968,0.583,0.09,29.34
1033.7,85.7,12.979,0.474,0.0,29.26
1037.3,85.64,13.006,0.402,0.0,28.96
1040.9,85.59,12.991,0.334,0.0,28.97
1044.5,85.54,12.981,0.354,0.006,29.26
1048.1,85.49,12.996,0.545,0.114,29.54
1051.7,85.44,12.997,0.581,0.095,29.29
1055.3,85.38,12.987,0.679,0.161,29.21
1058.9,85.33,12.965,0.45,0.0,29.26
1062.5,85.28,12.966,0.504,0.031,29.0
1066.1,85.23,13.0,0.482,0.054,29.48
1069.7,85.18,12.955,0.893,0.215,29.4
1073.3,85.12,12.954,0.727,0.184,29.17
1076.9,85.07,12.983,0.411,0.0,29.16
1080.5,85.02,12.983,0.46,0.0,29.11
1084.1,84.97,12.961,0.39,0.086,29.45
1087.7,84.92,12.974,0.351,0.0,29.14
1091.3,84.86,12.974,0.524,0.028,29.27
1094.9,84.81,12.952,0.309,0.0,29.28
1098.5,84.76,12.94,0.881,0.219,29.22
1102.2,84.71,12.923,0.84,0.168,29.39
1105.8,84.66,12.944,0.435,0.014,29.26
1109.4,84.6,12.949,0.427,0.0,28.89
1113.0,84.55,12.957,0.559,0.029,29.3
1116.6,84.5,12.943,0.562,0.091,29.24
1120.2,84.45,12.921,0.879,0.244,29.39
1123.8,84.4,12.943,0.618,0.167,29.28
1127.4,84.34,12.914,0.804,0.259,29.39
1131.0,84.29,12.952,0.491,0.057,29.5
1134.6,84.24,12.963,0.442,0.0,28.98
1138.2,84.19,12.941,0.493,0.0,29.16
1141.8,84.14,12.942,0.407,0.0,29.33
1145.4,84.08,12.947,0.438,0.086,29.31
1149.0,84.03,12.914,0.354,0.012,29.27
1152.6,83.98,12.947,0.437,0.0,29.76
1156.2,83.93,12.975,0.621,0.032,29.4
1159.8,83.88,12.927,0.575,0.089,29.49
1163.4,83.82,12.932,0.454,0.039,29.16
1167.0,83.77,12.941,0.5,0.0,29.03
1170.6,83.72,12.941,0.726,0.193,29.25
1174.2,83.67,12.935,0.623,0.145,29.42
1177.8,83.62,12.892,0.51,0.107,29.32
1181.4,83.56,12.924,0.66,0.085,29.37
1185.0,83.51,12.962,0.465,0.154,29.18
1188.6,83.46,12.93,0.487,0.0,29.16
1192.2,83.41,12.886,0.808,0.246,29.31
1195.8,83.36,12.911,0.705,0.206,29.45
1199.4,83.3,12.871,1.003,0.28,29.58
1203.0,83.25,12.929,0.58,0.127,29.06
1206.6,83.2,12.891,0.641,0.147,29.44
1210.2,83.15,12.883,1.085,0.369,29.31
1213.8,83.1,12.85,1.435,0.569,29.66
1217.4,83.04,12.9,0.507,0.0,29.2
1221.0,82.99,12.938,0.31,0.0,29.48
1224.6,82.94,12.904,0.564,0.146,29.17
1228.2,82.89,12.893,0.539,0.0,29.29
1231.8,82.84,12.89,0.406,0.0,29.33
1235.4,82.78,12.876,0.436,0.0,29.04
1239.0,82.73,12.886,0.379,0.0,29.18
1242.6,82.68,12.906,0.371,0.0,29.14
1246.2,82.63,12.901,0.687,0.094,29.2
1249.8,82.58,12.891,0.402,0.009,29.12
1253.4,82.52,12.91,0.635,0.109,29.51
1257.0,82.47,12.846,1.202,0.395,29.36
1260.6,82.42,12.857,1.084,0.441,29.56
1264.2,82.37,12.833,1.277,0.539,29.57
1267.8,82.32,12.85,1.528,0.689,29.32
1271.4,82.27,12.87,1.43,0.637,29.67
1275.0,82.21,12.802,1.602,0.732,29.34
1278.6,82.16,12.819,1.655,0.677,29.77
1282.2,82.11,12.844,1.608,0.715,29.53
1285.8,82.06,12.806,1.54,0.829,29.6
1289.4,82.01,12.827,1.688,0.73,29.4
1293.0,81.95,12.858,1.222,0.451,29.52
1296.6,81.9,12.853,0.956,0.342,29.58
1300.3,81.85,12.847,1.182,0.475,29.32
1303.9,81.8,12.875,0.96,0.351,29.28
1307.5,81.75,12.866,1.164,0.477,29.56
1311.1,81.69,12.839,1.072,0.368,29.54
1314.7,81.64,12.839,0.91,0.341,28.9
1318.3,81.59,12.829,0.953,0.34,29.8
1321.9,81.54,12.867,0.727,0.0,29.43
1325.5,81.49,12.85,0.343,0.0,29.33
1329.1,81.44,12.862,0.408,0.0,29.18
1332.7,81.38,12.872,0.28,0.0,28.79
1336.3,81.33,12.855,0.409,0.0,29.35
1339.9,81.28,12.869,0.325,0.0,29.07
1343.5,81.23,12.9,0.373,0.0,29.31
1347.1,81.18,12.85,0.538,0.034,29.21
1350.7,81.13,12.848,0.443,0.0,29.27
1354.3,81.07,12.863,0.561,0.054,29.11
1357.9,81.02,12.854,0.463,0.12,29.4
1361.5,80.97,12.866,0.554,0.0,29.02
1365.1,80.92,12.851,0.454,0.093,29.68
1368.7,80.87,12.839,0.529,0.0,29.7
1372.3,80.82,12.807,0.674,0.12,29.63
1375.9,80.76,12.818,0.473,0.0,29.49
1379.5,80.71,12.817,0.408,0.012,29.19
1383.1,80.66,12.828,0.819,0.228,29.59
1386.7,80.61,12.808,0.666,0.183,29.28
1390.3,80.56,12.843,0.727,0.184,29.01
1393.9,80.51,12.834,0.503,0.063,29.55
1397.5,80.46,12.818,0.706,0.277,29.54
1401.1,80.4,12.805,0.764,0.166,29.33
1404.7,80.35,12.822,0.839,0.243,29.12
1408.3,80.3,12.788,1.05,0.393,29.32
1411.9,80.25,12.779,1.158,0.482,29.11
1415.5,80.2,12.804,1.278,0.523,29.71
1419.1,80.15,12.793,1.217,0.533,29.18
1422.7,80.1,12.801,0.84,0.379,29.42
1426.3,80.04,12.783,1.431,0.587,29.4
1429.9,79.99,12.772,1.437,0.617,29.29
1433.5,79.94,12.778,1.406,0.619,29.61
1437.1,79.89,12.773,1.119,0.487,29.4
1440.7,79.84,12.804,1.321,0.495,29.7
1444.3,79.79,12.811,0.353,0.0,28.94
1447.9,79.74,12.824,0.717,0.216,29.17
1451.5,79.68,12.797,0.689,0.217,28.84
1455.1,79.63,12.803,0.854,0.222,28.93
1458.7,79.58,12.814,0.574,0.092,29.63
1462.3,79.53,12.829,0.376,0.003,29.62
1465.9,79.48,12.783,0.66,0.064,29.32
1469.5,79.43,12.821,0.442,0.0,29.06
1473.1,79.38,12.819,0.679,0.119,29.25
1476.7,79.33,12.782,0.764,0.243,29.52
1480.3,79.27,12.794,0.593,0.141,29.18
1483.9,79.22,12.785,0.566,0.183,29.32
1487.5,79.17,12.762,1.051,0.337,29.44
1491.1,79.12,12.796,0.963,0.321,29.3
1494.7,79.07,12.759,0.854,0.283,29.27
1498.3,79.02,12.761,0.804,0.259,29.42
1502.0,78.97,12.791,0.932,0.289,29.21
1505.6,78.92,12.789,0.648,0.214,29.39
1509.2,78.87,12.812,0.621,0.165,29.2
1512.8,78.81,12.771,0.632,0.198,29.32
1516.4,78.76,12.769,0.816,0.14,29.64
1520.0,78.71,12.771,0.507,0.001,29.22
1523.6,78.66,12.796,0.224,0.0,29.34
1527.2,78.61,12.761,0.322,0.004,28.83
1530.8,78.56,12.778,0.677,0.149,29.22
1534.4,78.51,12.77,0.699,0.197,29.33
1538.0,78.46,12.776,0.442,0.062,29.62
1541.6,78.41,12.763,0.571,0.0,28.88
1545.2,78.36,12.758,0.48,0.0,29.23
1548.8,78.31,12.76,0.903,0.22,29.68
1552.4,78.26,12.717,1.173,0.449,29.33
1556.0,78.2,12.721,1.57,0.66,29.58
1559.6,78.15,12.744,1.549,0.675,29.69
1563.2,78.1,12.704,2.142,1.057,29.86
1566.8,78.05,12.663,2.036,0.972,30.1
1570.4,78.0,12.689,1.772,0.928,29.79
1574.0,77.95,12.679,2.223,1.037,30.12
1577.6,77.9,12.674,2.146,1.071,29.76
1581.2,77.85,12.644,2.329,1.111,29.75
1584.8,77.8,12.695,1.808,0.879,29.67
1588.4,77.75,12.699,1.575,0.761,29.4
1592.0,77.7,12.728,1.536,0.754,29.71
1595.6,77.65,12.694,1.554,0.671,29.55
1599.2,77.6,12.727,1.279,0.51,29.39
1602.8,77.55,12.699,1.075,0.44,29.56
1606.4,77.5,12.7,1.106,0.473,29.24
1610.0,77.44,12.718,1.23,0.56,29.66
1613.6,77.39,12.735,0.986,0.333,29.33
1617.2,77.34,12.707,0.896,0.331,29.63
1620.8,77.29,12.722,0.859,0.319,29.3
1624.4,77.24,12.687,1.104,0.346,29.59
1628.0,77.19,12.719,0.8,0.213,29.4
1631.6,77.14,12.741,0.637,0.082,29.45
1635.2,77.09,12.715,0.747,0.231,29.37
1638.8,77.04,12.73,0.477,0.0,28.92
1642.4,76.99,12.719,0.396,0.0,29.42
1646.0,76.94,12.731,0.264,0.0,29.16
1649.6,76.89,12.754,0.514,0.0,29.42
1653.2,76.84,12.732,0.404,0.0,29.36
1656.8,76.79,12.706,0.578,0.057,29.13
1660.4,76.74,12.718,0.514,0.104,29.08
1664.0,76.69,12.696,0.548,0.087,29.41
1667.6,76.64,12.712,0.371,0.012,29.15
1671.2,76.59,12.739,0.5,0.0,29.45
1674.8,76.54,12.719,0.438,0.008,29.2
1678.4,76.49,12.747,0.444,0.0,29.44
1682.0,76.44,12.705,0.662,0.067,29.4
1685.6,76.39,12.695,0.861,0.185,29.44
1689.2,76.34,12.69,1.117,0.358,29.4
1692.8,76.29,12.638,1.151,0.521,29.53
1696.4,76.24,12.681,1.123,0.483,29.72
1700.1,76.19,12.676,1.117,0.497,29.47
1703.7,76.14,12.692,1.232,0.477,29.62
1707.3,76.09,12.686,1.157,0.457,29.5
1710.9,76.04,12.662,0.982,0.429,29.45
1714.5,75.99,12.69,1.108,0.43,29.82
1718.1,75.94,12.659,1.236,0.57,29.76
1721.7,75.89,12.64,1.392,0.607,29.59
1725.3,75.84,12.674,1.024,0.469,29.49
1728.9,75.79,12.647,1.407,0.582,29.44
1732.5,75.74,12.671,1.422,0.607,29.55
1736.1,75.69,12.641,1.641,0.666,29.72
1739.7,75.64,12.639,1.607,0.701,29.82
1743.3,75.59,12.65,1.573,0.741,29.79
1746.9,75.54,12.641,1.765,0.787,29.48
1750.5,75.49,12.661,1.254,0.58,29.72
1754.1,75.44,12.664,1.35,0.637,29.54
1757.7,75.39,12.651,1.345,0.552,29.36
1761.3,75.34,12.658,1.032,0.494,29.72
1764.9,75.29,12.663,1.235,0.494,29.81
1768.5,75.24,12.631,1.437,0.688,29.64
1772.1,75.19,12.636,1.347,0.567,29.7
1775.7,75.14,12.666,1.223,0.563,29.67
1779.3,75.09,12.659,1.306,0.532,29.83
1782.9,75.04,12.626,1.45,0.643,29.74
1786.5,74.99,12.616,1.489,0.609,29.34
1790.1,74.94,12.646,1.442,0.636,30.0
1793.7,74.89,12.648,1.167,0.516,29.71
1797.3,74.85,12.626,1.427,0.649,29.49
1800.9,74.8,12.632,1.087,0.479,29.26
1804.5,74.75,12.63,1.308,0.534,29.65
1808.1,74.7,12.62,1.364,0.562,29.51
1811.7,74.65,12.597,1.599,0.607,29.72
1815.3,74.6,12.633,1.103,0.438,29.63
1818.9,74.55,12.636,1.039,0.402,29.34
1822.5,74.5,12.615,1.244,0.506,29.3
1826.1,74.45,12.614,1.622,0.722,29.74
1829.7,74.4,12.62,1.584,0.709,29.54
1833.3,74.35,12.608,1.703,0.801,29.72
1836.9,74.3,12.583,1.795,0.816,29.45
1840.5,74.25,12.604,1.659,0.809,29.62
1844.1,74.2,12.59,1.706,0.759,29.83
1847.7,74.15,12.57,1.679,0.76,29.8
1851.3,74.11,12.585,1.933,0.84,29.61
1854.9,74.06,12.643,0.585,0.0,29.06
1858.5,74.01,12.678,0.594,0.0,29.3
1862.1,73.96,12.672,0.335,0.0,29.32
1865.7,73.91,12.655,0.425,0.0,29.32
1869.3,73.86,12.65,0.35,0.006,29.11
1872.9,73.81,12.638,0.551,0.0,29.35
1876.5,73.76,12.618,0.559,0.041,29.59
1880.1,73.71,12.609,0.5,0.09,29.31
1883.7,73.66,12.622,0.463,0.0,28.93
1887.3,73.61,12.635,0.421,0.0,29.28
1890.9,73.57,12.604,0.394,0.0,29.64
1894.5,73.52,12.61,0.709,0.143,29.09
1898.1,73.47,12.619,0.594,0.082,29.31
1901.8,73.42,12.625,0.462,0.019,29.21
1905.4,73.37,12.606,0.67,0.137,29.35
1909.0,73.32,12.602,0.814,0.234,29.42
1912.6,73.27,12.642,0.617,0.12,29.54
1916.2,73.22,12.619,0.732,0.203,29.37
1919.8,73.17,12.607,0.567,0.112,29.55
1923.4,73.13,12.61,0.639,0.047,29.3
1927.0,73.08,12.624,0.328,0.0,29.14
1930.6,73.03,12.606,0.438,0.0,29.12
1934.2,72.98,12.607,0.395,0.013,28.87
1937.8,72.93,12.625,0.542,0.0,29.34
1941.4,72.88,12.611,0.365,0.018,29.64
1945.0,72.83,12.598,0.394,0.032,29.33
1948.6,72.78,12.614,0.352,0.014,29.36
1952.2,72.73,12.611,0.429,0.0,29.17
1955.8,72.69,12.586,0.29,0.0,29.15
1959.4,72.64,12.607,0.405,0.0,29.44
1963.0,72.59,12.613,0.543,0.173,29.69
1966.6,72.54,12.599,0.672,0.15,29.63
1970.2,72.49,12.628,0.59,0.122,29.47
1973.8,72.44,12.626,0.314,0.013,29.22
1977.4,72.39,12.604,0.782,0.171,29.41
1981.0,72.35,12.638,0.467,0.101,29.11
1984.6,72.3,12.595,0.692,0.13,29.05
1988.2,72.25,12.587,0.651,0.182,29.1
1991.8,72.2,12.586,0.879,0.195,29.42
1995.4,72.15,12.579,0.526,0.027,29.23
1999.0,72.1,12.59,0.49,0.106,28.98
2002.6,72.05,12.582,0.387,0.034,29.23
2006.2,72.01,12.583,0.66,0.13,29.27
2009.8,71.96,12.574,0.482,0.051,29.03
2013.4,71.91,12.573,0.468,0.043,29.19
2017.0,71.86,12.576,0.717,0.102,29.29
2020.6,71.81,12.562,0.798,0.251,29.26
2024.2,71.76,12.526,0.961,0.325,29.62
2027.8,71.71,12.523,1.132,0.387,29.12
2031.4,71.67,12.522,1.222,0.471,29.13
2035.0,71.62,12.536,0.99,0.376,29.45
2038.6,71.57,12.545,1.157,0.477,29.53
2042.2,71.52,12.55,0.987,0.444,29.53
