Time_s,Time_min,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
145.0,2.42,98.59,13.356,0.482,0.0,28.94
148.5,2.48,98.55,13.328,0.702,0.246,29.21
152.0,2.53,98.51,13.364,0.903,0.149,29.19
155.6,2.59,98.47,13.355,0.209,0.0,28.61
159.1,2.65,98.44,13.357,0.347,0.063,28.63
162.7,2.71,98.4,13.352,0.716,0.249,29.03
166.2,2.77,98.36,13.329,0.917,0.321,29.34
169.7,2.83,98.32,13.322,1.236,0.518,28.68
173.3,2.89,98.28,13.312,1.168,0.473,29.51
176.8,2.95,98.25,13.305,1.3,0.596,29.4
180.3,3.01,98.21,13.288,1.25,0.519,29.09
183.9,3.06,98.17,13.328,1.159,0.475,29.48
187.4,3.12,98.13,13.346,0.858,0.432,29.53
190.9,3.18,98.09,13.322,0.891,0.397,28.92
194.5,3.24,98.05,13.323,1.332,0.525,29.12
198.0,3.3,98.02,13.296,1.474,0.733,29.0
201.6,3.36,97.98,13.302,1.424,0.677,29.48
205.1,3.42,97.94,13.28,1.307,0.58,29.12
208.6,3.48,97.9,13.257,1.32,0.537,29.08
212.2,3.54,97.86,13.318,1.148,0.441,28.93
215.7,3.59,97.82,13.339,1.349,0.56,29.65
219.2,3.65,97.78,13.292,1.142,0.521,29.08
222.8,3.71,97.74,13.28,1.542,0.559,29.25
226.3,3.77,97.71,13.3,1.361,0.606,29.25
229.8,3.83,97.67,13.311,1.346,0.645,29.34
233.4,3.89,97.63,13.29,1.31,0.599,29.53
236.9,3.95,97.59,13.265,1.955,0.811,29.6
240.4,4.01,97.55,13.303,0.799,0.0,28.97
244.0,4.07,97.51,13.326,0.466,0.011,28.87
247.5,4.13,97.47,13.337,0.685,0.193,29.05
251.1,4.18,97.43,13.329,0.56,0.162,29.08
254.6,4.24,97.39,13.27,0.797,0.215,29.3
258.1,4.3,97.35,13.306,0.841,0.118,28.87
261.7,4.36,97.31,13.366,0.34,0.0,28.8
265.2,4.42,97.27,13.311,0.684,0.235,28.64
268.7,4.48,97.23,13.321,0.641,0.211,28.99
272.3,4.54,97.19,13.274,0.638,0.127,28.71
275.8,4.6,97.15,13.308,0.59,0.199,29.12
279.3,4.66,97.11,13.315,0.598,0.145,28.64
282.9,4.71,97.07,13.301,0.823,0.203,28.96
286.4,4.77,97.03,13.302,0.593,0.211,29.13
289.9,4.83,96.99,13.3,0.641,0.18,28.93
293.5,4.89,96.95,13.278,0.645,0.163,29.12
297.0,4.95,96.91,13.27,0.931,0.284,29.17
300.6,5.01,96.87,13.275,1.026,0.36,29.13
304.1,5.07,96.83,13.301,0.817,0.389,28.89
307.6,5.13,96.79,13.284,0.944,0.283,29.22
311.2,5.19,96.75,13.309,0.697,0.226,28.79
314.7,5.25,96.71,13.299,1.0,0.392,29.43
318.2,5.3,96.67,13.239,1.541,0.612,29.09
321.8,5.36,96.63,13.216,1.929,0.921,29.39
325.3,5.42,96.59,13.25,1.939,0.93,29.47
328.8,5.48,96.55,13.221,1.645,0.818,29.39
332.4,5.54,96.51,13.215,1.627,0.698,29.24
335.9,5.6,96.46,13.231,1.485,0.649,29.38
339.5,5.66,96.42,13.199,1.808,0.876,29.48
343.0,5.72,96.38,13.194,1.909,0.981,29.02
346.5,5.78,96.34,13.204,1.774,0.845,29.33
350.1,5.83,96.3,13.212,1.843,0.868,29.3
353.6,5.89,96.26,13.241,1.632,0.704,29.62
357.1,5.95,96.22,13.248,1.234,0.455,29.51
360.7,6.01,96.18,13.249,0.983,0.334,29.24
364.2,6.07,96.14,13.281,1.281,0.46,29.44
367.7,6.13,96.09,13.225,1.519,0.718,29.5
371.3,6.19,96.05,13.236,1.572,0.784,29.65
374.8,6.25,96.01,13.213,1.979,0.954,29.66
378.3,6.31,95.97,13.193,2.053,1.022,29.76
381.9,6.36,95.93,13.202,2.118,1.127,29.27
385.4,6.42,95.89,13.192,2.21,1.147,29.74
389.0,6.48,95.85,13.17,2.373,1.201,29.38
392.5,6.54,95.8,13.196,1.829,0.919,29.65
396.0,6.6,95.76,13.2,1.921,0.85,29.51
399.6,6.66,95.72,13.159,2.05,1.083,29.93
403.1,6.72,95.68,13.191,2.056,1.0,29.43
406.6,6.78,95.64,13.223,1.49,0.825,29.53
410.2,6.84,95.6,13.205,1.852,0.982,29.67
413.7,6.9,95.55,13.23,1.368,0.554,29.3
417.2,6.95,95.51,13.242,0.914,0.434,29.18
420.8,7.01,95.47,13.265,1.057,0.464,28.89
424.3,7.07,95.43,13.225,0.972,0.267,29.11
427.9,7.13,95.39,13.261,0.348,0.0,29.07
431.4,7.19,95.34,13.247,0.825,0.177,28.83
434.9,7.25,95.3,13.266,1.015,0.34,28.87
438.5,7.31,95.26,13.262,0.883,0.362,29.38
442.0,7.37,95.22,13.262,0.898,0.376,29.46
445.5,7.43,95.17,13.245,1.334,0.508,29.41
449.1,7.48,95.13,13.243,0.526,0.093,28.76
452.6,7.54,95.09,13.197,0.707,0.208,28.71
456.1,7.6,95.05,13.26,0.65,0.124,29.13
459.7,7.66,95.0,13.238,0.482,0.0,29.19
463.2,7.72,94.96,13.266,0.207,0.0,28.63
466.7,7.78,94.92,13.27,0.451,0.0,29.13
470.3,7.84,94.88,13.234,0.483,0.003,28.96
473.8,7.9,94.83,13.244,0.515,0.089,29.03
477.4,7.96,94.79,13.274,0.392,0.0,29.3
480.9,8.01,94.75,13.272,0.453,0.0,29.03
484.4,8.07,94.71,13.278,0.224,0.05,28.84
488.0,8.13,94.66,13.266,0.592,0.06,29.06
491.5,8.19,94.62,13.234,0.532,0.122,29.46
495.0,8.25,94.58,13.243,0.444,0.0,29.17
498.6,8.31,94.53,13.274,0.243,0.0,28.88
502.1,8.37,94.49,13.259,0.484,0.117,28.84
505.6,8.43,94.45,13.262,0.428,0.0,28.77
509.2,8.49,94.4,13.275,0.195,0.0,28.97
512.7,8.55,94.36,13.269,0.625,0.047,29.07
516.3,8.6,94.32,13.232,0.791,0.155,29.15
519.8,8.66,94.27,13.187,1.025,0.301,29.19
523.3,8.72,94.23,13.214,0.976,0.317,29.15
526.9,8.78,94.19,13.189,1.129,0.453,28.86
530.4,8.84,94.14,13.188,1.023,0.399,29.08
533.9,8.9,94.1,13.233,0.827,0.245,29.31
537.5,8.96,94.06,13.248,0.736,0.231,28.95
541.0,9.02,94.01,13.204,1.075,0.295,29.25
544.5,9.08,93.97,13.2,1.116,0.481,29.11
548.1,9.13,93.93,13.17,1.357,0.566,29.57
551.6,9.19,93.88,13.152,1.653,0.77,29.06
555.1,9.25,93.84,13.125,1.701,0.817,29.31
558.7,9.31,93.8,13.165,1.764,0.936,29.63
562.2,9.37,93.75,13.135,1.903,0.878,29.74
565.8,9.43,93.71,13.177,1.444,0.63,29.33
569.3,9.49,93.66,13.162,1.653,0.727,29.55
572.8,9.55,93.62,13.181,0.485,0.0,29.21
576.4,9.61,93.58,13.237,0.503,0.058,29.16
579.9,9.66,93.53,13.232,0.266,0.0,28.94
583.4,9.72,93.49,13.218,0.523,0.017,29.09
587.0,9.78,93.44,13.173,0.733,0.259,29.09
590.5,9.84,93.4,13.216,0.432,0.0,29.09
594.0,9.9,93.36,13.196,0.473,0.123,28.81
597.6,9.96,93.31,13.21,0.461,0.077,28.87
601.1,10.02,93.27,13.219,0.907,0.298,29.31
604.7,10.08,93.22,13.197,0.281,0.026,28.78
608.2,10.14,93.18,13.176,0.458,0.0,28.54
611.7,10.2,93.13,13.205,0.41,0.0,29.29
615.3,10.25,93.09,13.2,0.488,0.0,29.22
618.8,10.31,93.05,13.201,0.563,0.133,29.04
622.3,10.37,93.0,13.215,0.664,0.18,29.3
625.9,10.43,92.96,13.154,1.034,0.358,28.91
629.4,10.49,92.91,13.149,1.48,0.64,29.37
632.9,10.55,92.87,13.113,1.577,0.702,29.28
636.5,10.61,92.82,13.119,1.417,0.587,29.18
640.0,10.67,92.78,13.149,1.369,0.553,29.16
643.5,10.73,92.73,13.184,0.874,0.393,29.31
647.1,10.78,92.69,13.13,1.42,0.479,29.33
650.6,10.84,92.64,13.109,1.551,0.739,29.1
654.2,10.9,92.6,13.088,1.838,0.903,29.52
657.7,10.96,92.55,13.101,1.872,0.772,29.53
661.2,11.02,92.51,13.159,0.883,0.277,28.94
664.8,11.08,92.46,13.177,0.789,0.267,29.12
668.3,11.14,92.42,13.174,0.38,0.003,28.78
671.8,11.2,92.37,13.169,0.242,0.0,28.95
675.4,11.26,92.33,13.159,0.441,0.0,28.68
678.9,11.32,92.28,13.136,0.674,0.148,29.12
682.4,11.37,92.24,13.175,0.288,0.0,28.62
686.0,11.43,92.19,13.173,0.488,0.071,29.29
689.5,11.49,92.15,13.203,0.325,0.0,28.6
693.0,11.55,92.1,13.18,0.793,0.0,29.02
696.6,11.61,92.06,13.146,1.274,0.389,29.07
700.1,11.67,92.01,13.121,1.177,0.431,29.15
703.7,11.73,91.97,13.111,1.44,0.554,29.37
707.2,11.79,91.92,13.108,1.77,0.776,29.64
710.7,11.85,91.88,13.106,1.672,0.855,29.66
714.3,11.9,91.83,13.106,1.922,0.964,29.6
717.8,11.96,91.78,13.086,1.574,0.851,29.2
721.3,12.02,91.74,13.117,1.475,0.799,29.03
724.9,12.08,91.69,13.097,1.731,0.828,29.67
728.4,12.14,91.65,13.105,1.469,0.632,29.78
731.9,12.2,91.6,13.118,1.304,0.602,28.66
735.5,12.26,91.56,13.089,1.3,0.543,29.09
739.0,12.32,91.51,13.117,1.3,0.625,29.44
742.6,12.38,91.46,13.09,1.513,0.624,29.04
746.1,12.43,91.42,13.086,1.595,0.767,29.33
749.6,12.49,91.37,13.095,1.415,0.589,28.98
753.2,12.55,91.33,13.15,1.131,0.508,29.39
756.7,12.61,91.28,13.132,0.929,0.441,29.08
760.2,12.67,91.24,13.107,1.369,0.552,29.73
763.8,12.73,91.19,13.133,1.294,0.632,29.27
767.3,12.79,91.14,13.136,1.013,0.532,29.18
770.8,12.85,91.1,13.124,1.208,0.51,29.34
774.4,12.91,91.05,13.091,1.107,0.468,29.31
777.9,12.97,91.0,13.11,0.995,0.342,28.89
781.4,13.02,90.96,13.123,0.731,0.202,28.85
785.0,13.08,90.91,13.158,0.409,0.158,28.95
788.5,13.14,90.87,13.152,0.693,0.173,29.08
792.1,13.2,90.82,13.145,0.521,0.0,28.52
795.6,13.26,90.77,13.157,0.325,0.0,29.07
799.1,13.32,90.73,13.142,0.641,0.058,29.21
802.7,13.38,90.68,13.127,0.713,0.216,29.08
806.2,13.44,90.63,13.107,0.472,0.0,29.04
809.7,13.5,90.59,13.145,0.404,0.0,28.86
813.3,13.55,90.54,13.12,0.371,0.034,28.89
816.8,13.61,90.49,13.098,0.746,0.022,28.79
820.3,13.67,90.45,13.112,0.963,0.342,29.03
823.9,13.73,90.4,13.104,0.536,0.088,28.92
827.4,13.79,90.35,13.124,0.643,0.124,29.29
831.0,13.85,90.31,13.117,0.41,0.009,28.89
834.5,13.91,90.26,13.11,0.632,0.152,28.99
838.0,13.97,90.21,13.107,0.565,0.089,29.29
841.6,14.03,90.17,13.126,0.457,0.0,28.86
845.1,14.08,90.12,13.123,0.246,0.0,28.78
848.6,14.14,90.07,13.114,0.38,0.051,29.04
852.2,14.2,90.03,13.128,0.322,0.048,29.18
855.7,14.26,89.98,13.12,0.243,0.0,29.14
859.2,14.32,89.93,13.095,0.18,0.0,28.82
862.8,14.38,89.89,13.106,0.326,0.0,28.78
866.3,14.44,89.84,13.094,0.399,0.0,28.78
869.8,14.5,89.79,13.108,0.596,0.208,29.01
873.4,14.56,89.75,13.108,0.517,0.071,29.09
876.9,14.62,89.7,13.11,0.539,0.0,29.59
880.5,14.67,89.65,13.114,0.433,0.0,28.99
884.0,14.73,89.6,13.135,0.18,0.0,28.87
887.5,14.79,89.56,13.109,0.322,0.0,28.77
891.1,14.85,89.51,13.109,0.483,0.0,29.23
894.6,14.91,89.46,13.099,0.496,0.038,28.83
898.1,14.97,89.42,13.075,0.789,0.184,29.3
901.7,15.03,89.37,13.028,0.977,0.326,28.95
905.2,15.09,89.32,13.066,0.973,0.408,29.06
908.7,15.15,89.27,13.05,1.332,0.526,29.48
912.3,15.2,89.23,13.064,0.878,0.178,29.21
915.8,15.26,89.18,13.074,0.627,0.187,29.15
919.4,15.32,89.13,13.07,0.82,0.258,28.84
922.9,15.38,89.08,13.06,0.443,0.085,28.95
926.4,15.44,89.04,13.076,0.755,0.215,29.26
930.0,15.5,88.99,13.071,0.797,0.148,29.07
933.5,15.56,88.94,13.119,0.604,0.061,28.94
937.0,15.62,88.89,13.057,0.577,0.236,29.17
940.6,15.68,88.85,13.06,0.389,0.003,28.95
944.1,15.74,88.8,13.134,0.311,0.0,29.28
947.6,15.79,88.75,13.117,0.471,0.028,29.17
951.2,15.85,88.7,13.083,0.357,0.0,28.75
954.7,15.91,88.66,13.073,0.353,0.0,28.99
958.2,15.97,88.61,13.051,0.281,0.0,29.28
961.8,16.03,88.56,13.047,0.747,0.089,28.82
965.3,16.09,88.51,13.049,0.888,0.262,29.04
968.9,16.15,88.46,13.068,0.624,0.283,29.08
972.4,16.21,88.42,13.071,0.955,0.242,28.98
975.9,16.27,88.37,13.034,1.067,0.506,28.99
979.5,16.32,88.32,13.053,1.031,0.312,29.07
983.0,16.38,88.27,13.045,0.568,0.152,28.76
986.5,16.44,88.22,13.075,0.686,0.206,29.45
990.1,16.5,88.18,13.015,0.918,0.264,29.08
993.6,16.56,88.13,13.054,0.738,0.201,28.96
997.1,16.62,88.08,13.048,0.445,0.062,29.22
1000.7,16.68,88.03,13.041,0.835,0.223,29.23
1004.2,16.74,87.98,13.031,1.094,0.376,29.25
1007.8,16.8,87.94,13.006,1.362,0.513,29.21
1011.3,16.85,87.89,12.96,1.431,0.598,28.94
1014.8,16.91,87.84,13.019,1.414,0.64,29.13
1018.4,16.97,87.79,13.011,1.403,0.539,29.43
1021.9,17.03,87.74,13.024,1.059,0.418,29.0
1025.4,17.09,87.7,12.996,1.229,0.438,29.21
1029.0,17.15,87.65,13.01,0.712,0.168,28.98
1032.5,17.21,87.6,13.001,1.096,0.408,28.98
1036.0,17.27,87.55,12.986,0.924,0.327,29.04
1039.6,17.33,87.5,12.975,1.278,0.491,29.44
1043.1,17.39,87.45,13.011,1.232,0.523,29.17
1046.6,17.44,87.41,12.91,1.676,0.661,29.62
1050.2,17.5,87.36,13.02,0.895,0.255,29.49
1053.7,17.56,87.31,12.975,1.126,0.415,28.98
1057.3,17.62,87.26,13.019,0.905,0.356,29.13
1060.8,17.68,87.21,13.008,0.727,0.122,29.26
1064.3,17.74,87.16,13.024,0.611,0.111,28.95
1067.9,17.8,87.11,12.999,0.534,0.061,29.18
1071.4,17.86,87.07,12.992,1.006,0.182,29.22
1074.9,17.92,87.02,13.004,1.197,0.463,29.02
1078.5,17.97,86.97,13.019,0.622,0.0,29.12
1082.0,18.03,86.92,13.006,0.438,0.0,29.19
1085.5,18.09,86.87,13.028,0.599,0.094,28.98
1089.1,18.15,86.82,13.01,0.332,0.017,28.67
1092.6,18.21,86.77,13.052,0.217,0.0,29.09
1096.2,18.27,86.73,13.012,0.417,0.0,29.21
1099.7,18.33,86.68,13.007,0.712,0.107,28.97
1103.2,18.39,86.63,12.995,0.516,0.162,28.93
1106.8,18.45,86.58,13.017,0.672,0.163,29.2
1110.3,18.5,86.53,13.016,0.766,0.22,29.2
1113.8,18.56,86.48,13.022,0.274,0.0,29.33
1117.4,18.62,86.43,13.008,0.419,0.0,28.86
1120.9,18.68,86.39,12.958,0.572,0.094,28.91
1124.4,18.74,86.34,13.019,0.835,0.32,29.29
1128.0,18.8,86.29,12.957,1.187,0.4,29.46
1131.5,18.86,86.24,12.973,0.947,0.376,29.22
1135.0,18.92,86.19,13.021,0.971,0.32,29.16
1138.6,18.98,86.14,12.978,0.913,0.336,29.39
1142.1,19.04,86.09,12.924,1.321,0.551,29.39
1145.7,19.09,86.04,12.958,1.111,0.343,29.35
1149.2,19.15,85.99,13.005,0.535,0.028,28.93
1152.7,19.21,85.95,12.973,0.611,0.114,29.11
1156.3,19.27,85.9,12.986,0.367,0.0,29.26
1159.8,19.33,85.85,12.975,0.282,0.0,29.18
1163.3,19.39,85.8,12.952,0.479,0.059,28.9
1166.9,19.45,85.75,12.99,0.309,0.0,28.81
1170.4,19.51,85.7,12.959,0.382,0.0,28.65
1173.9,19.57,85.65,13.013,0.682,0.166,29.05
1177.5,19.62,85.6,12.959,0.443,0.034,29.2
1181.0,19.68,85.55,12.964,0.646,0.223,28.71
1184.5,19.74,85.5,12.987,0.414,0.025,28.89
1188.1,19.8,85.46,12.986,0.417,0.0,28.78
1191.6,19.86,85.41,12.937,0.908,0.176,29.26
1195.2,19.92,85.36,12.989,0.309,0.001,28.73
1198.7,19.98,85.31,12.992,0.392,0.0,28.98
1202.2,20.04,85.26,12.947,0.564,0.136,28.85
1205.8,20.1,85.21,12.995,0.54,0.081,29.35
1209.3,20.16,85.16,12.966,0.483,0.034,29.03
1212.8,20.21,85.11,12.953,0.342,0.0,28.69
1216.4,20.27,85.06,12.949,0.407,0.009,28.92
1219.9,20.33,85.01,12.927,0.744,0.161,29.28
1223.4,20.39,84.96,12.991,0.447,0.027,29.32
1227.0,20.45,84.91,12.99,0.386,0.0,29.34
1230.5,20.51,84.87,12.984,0.232,0.027,28.9
1234.1,20.57,84.82,12.945,0.488,0.092,29.13
1237.6,20.63,84.77,12.972,0.958,0.315,29.48
1241.1,20.69,84.72,12.919,0.795,0.305,29.17
1244.7,20.74,84.67,12.925,0.768,0.21,29.49
1248.2,20.8,84.62,12.957,0.613,0.064,29.51
1251.7,20.86,84.57,12.978,0.504,0.038,29.0
1255.3,20.92,84.52,12.915,0.372,0.0,29.17
1258.8,20.98,84.47,12.972,0.199,0.0,28.84
1262.3,21.04,84.42,12.928,0.565,0.072,29.34
1265.9,21.1,84.37,12.928,0.384,0.0,29.19
1269.4,21.16,84.32,12.95,0.504,0.0,28.98
1272.9,21.22,84.27,12.901,1.079,0.342,29.25
1276.5,21.27,84.22,12.919,0.93,0.367,29.48
1280.0,21.33,84.18,12.879,0.846,0.405,29.04
1283.6,21.39,84.13,12.905,1.239,0.46,29.72
1287.1,21.45,84.08,12.935,0.907,0.281,29.08
1290.6,21.51,84.03,12.92,0.332,0.0,28.92
1294.2,21.57,83.98,12.914,0.521,0.0,29.29
1297.7,21.63,83.93,12.94,0.581,0.126,28.99
1301.2,21.69,83.88,12.95,0.565,0.066,29.24
1304.8,21.75,83.83,12.926,0.737,0.266,29.33
1308.3,21.81,83.78,12.932,0.844,0.277,29.11
1311.8,21.86,83.73,12.855,0.977,0.304,29.28
1315.4,21.92,83.68,12.86,1.309,0.469,29.22
1318.9,21.98,83.63,12.91,0.859,0.337,29.39
1322.5,22.04,83.58,12.914,0.76,0.343,28.99
1326.0,22.1,83.53,12.909,0.613,0.233,29.15
1329.5,22.16,83.48,12.879,0.903,0.376,29.48
1333.1,22.22,83.43,12.881,1.108,0.296,29.31
1336.6,22.28,83.38,12.853,1.172,0.513,29.07
1340.1,22.34,83.34,12.858,1.271,0.487,29.52
1343.7,22.39,83.29,12.827,1.428,0.611,29.05
1347.2,22.45,83.24,12.836,1.34,0.653,29.43
1350.7,22.51,83.19,12.868,1.265,0.447,29.23
1354.3,22.57,83.14,12.901,0.937,0.279,29.35
1357.8,22.63,83.09,12.899,0.421,0.037,29.25
1361.3,22.69,83.04,12.893,0.601,0.045,29.45
1364.9,22.75,82.99,12.939,0.444,0.053,29.12
1368.4,22.81,82.94,12.851,0.887,0.278,29.54
1372.0,22.87,82.89,12.86,0.893,0.281,29.33
1375.5,22.92,82.84,12.885,0.774,0.294,29.38
1379.0,22.98,82.79,12.87,0.908,0.3,28.92
1382.6,23.04,82.74,12.883,0.866,0.322,29.25
1386.1,23.1,82.69,12.873,0.77,0.307,29.56
1389.6,23.16,82.64,12.884,1.137,0.375,29.32
1393.2,23.22,82.59,12.866,1.02,0.331,29.09
1396.7,23.28,82.54,12.885,0.99,0.242,29.27
1400.2,23.34,82.49,12.877,0.722,0.108,29.14
1403.8,23.4,82.44,12.875,0.372,0.0,29.0
1407.3,23.46,82.39,12.896,0.548,0.115,28.96
1410.9,23.51,82.35,12.899,0.383,0.083,28.95
1414.4,23.57,82.3,12.883,0.35,0.0,28.89
1417.9,23.63,82.25,12.86,0.479,0.0,28.79
1421.5,23.69,82.2,12.85,0.559,0.139,29.15
1425.0,23.75,82.15,12.87,0.492,0.106,29.36
1428.5,23.81,82.1,12.862,0.591,0.086,28.79
1432.1,23.87,82.05,12.876,0.454,0.0,28.8
1435.6,23.93,82.0,12.862,0.686,0.189,28.97
1439.1,23.99,81.95,12.838,1.024,0.421,29.15
1442.7,24.04,81.9,12.825,1.026,0.444,29.11
1446.2,24.1,81.85,12.875,0.727,0.234,29.2
1449.7,24.16,81.8,12.876,0.716,0.142,29.02
1453.3,24.22,81.75,12.88,0.625,0.098,29.23
1456.8,24.28,81.7,12.878,0.499,0.0,28.95
1460.4,24.34,81.65,12.865,0.601,0.166,28.39
1463.9,24.4,81.6,12.913,0.603,0.169,29.39
1467.4,24.46,81.55,12.862,0.723,0.305,29.25
1471.0,24.52,81.5,12.824,0.984,0.258,28.48
1474.5,24.57,81.45,12.813,0.845,0.267,29.12
1478.0,24.63,81.4,12.878,0.398,0.069,29.17
1481.6,24.69,81.35,12.858,0.43,0.131,29.0
1485.1,24.75,81.31,12.843,0.536,0.152,29.28
1488.6,24.81,81.26,12.85,0.618,0.181,29.15
1492.2,24.87,81.21,12.837,0.447,0.031,28.52
1495.7,24.93,81.16,12.816,0.881,0.211,28.64
1499.3,24.99,81.11,12.821,0.688,0.191,29.37
1502.8,25.05,81.06,12.812,0.951,0.284,29.59
1506.3,25.11,81.01,12.824,1.178,0.482,29.13
1509.9,25.16,80.96,12.78,1.348,0.536,29.43
1513.4,25.22,80.91,12.806,1.322,0.572,29.34
1516.9,25.28,80.86,12.783,1.486,0.671,29.33
1520.5,25.34,80.81,12.731,1.947,0.843,29.37
1524.0,25.4,80.76,12.81,1.426,0.731,29.41
1527.5,25.46,80.71,12.778,1.829,0.89,29.32
1531.1,25.52,80.66,12.757,1.664,0.81,29.41
1534.6,25.58,80.61,12.738,2.333,1.194,29.42
1538.1,25.64,80.56,12.731,2.011,1.102,29.16
1541.7,25.69,80.51,12.738,2.456,1.279,29.71
1545.2,25.75,80.46,12.746,2.102,1.12,29.53
1548.8,25.81,80.42,12.715,2.69,1.366,29.88
1552.3,25.87,80.37,12.677,2.914,1.566,29.89
1555.8,25.93,80.32,12.703,2.704,1.351,29.81
1559.4,25.99,80.27,12.711,2.429,1.29,29.59
1562.9,26.05,80.22,12.71,2.477,1.429,29.64
1566.4,26.11,80.17,12.728,2.203,1.314,29.73
1570.0,26.17,80.12,12.664,2.645,1.424,29.57
1573.5,26.23,80.07,12.7,2.718,1.559,29.91
1577.0,26.28,80.02,12.69,2.718,1.487,29.84
1580.6,26.34,79.97,12.681,2.695,1.548,29.68
1584.1,26.4,79.92,12.703,3.066,1.693,29.78
1587.6,26.46,79.87,12.723,2.655,1.601,29.76
1591.2,26.52,79.82,12.648,2.974,1.649,29.74
1594.7,26.58,79.77,12.641,3.271,1.76,30.08
1598.3,26.64,79.72,12.679,3.117,1.788,30.08
1601.8,26.7,79.67,12.65,3.134,1.759,30.02
1605.3,26.76,79.63,12.629,3.664,1.925,30.21
1608.9,26.81,79.58,12.63,3.554,2.154,29.72
1612.4,26.87,79.53,12.638,3.582,2.062,30.39
1615.9,26.93,79.48,12.594,4.11,2.212,30.52
1619.5,26.99,79.43,12.6,4.144,2.437,30.29
1623.0,27.05,79.38,12.59,4.224,2.443,30.2
1626.5,27.11,79.33,12.571,4.446,2.569,30.07
1630.1,27.17,79.28,12.6,4.114,2.309,30.23
1633.6,27.23,79.23,12.597,3.921,2.244,30.18
1637.2,27.29,79.18,12.556,4.383,2.425,30.38
1640.7,27.34,79.13,12.592,4.086,2.505,30.28
1644.2,27.4,79.08,12.567,4.222,2.432,29.98
1647.8,27.46,79.03,12.585,4.375,2.471,30.42
1651.3,27.52,78.99,12.58,4.206,2.312,30.11
1654.8,27.58,78.94,12.603,3.693,2.152,30.11
1658.4,27.64,78.89,12.609,4.1,2.339,30.13
1661.9,27.7,78.84,12.588,4.04,2.418,30.1
1665.4,27.76,78.79,12.584,4.101,2.332,30.07
1669.0,27.82,78.74,12.622,3.81,2.23,30.09
1672.5,27.88,78.69,12.596,4.059,2.33,30.04
1676.0,27.93,78.64,12.581,4.213,2.516,30.35
1679.6,27.99,78.59,12.591,4.095,2.423,30.56
1683.1,28.05,78.54,12.554,4.47,2.5,30.54
1686.7,28.11,78.49,12.565,4.204,2.466,30.43
1690.2,28.17,78.44,12.518,4.629,2.761,30.25
1693.7,28.23,78.4,12.527,4.644,2.767,30.44
1697.3,28.29,78.35,12.526,4.683,2.778,30.63
1700.8,28.35,78.3,12.539,4.968,3.085,30.57
1704.3,28.41,78.25,12.503,5.008,2.925,30.56
1707.9,28.46,78.2,12.551,4.451,2.694,30.39
1711.4,28.52,78.15,12.516,5.107,2.967,30.56
1714.9,28.58,78.1,12.512,5.139,3.077,30.38
1718.5,28.64,78.05,12.516,5.259,3.06,30.43
1722.0,28.7,78.0,12.501,4.749,2.839,30.82
1725.6,28.76,77.95,12.557,4.619,2.74,30.37
