Time (s),Voltage (V),Current (A),Temp (C),SoC
361.47,10.04,0.77,25.0,85.2
362.56,10.06,0.73,25.0,85.2
363.64,10.04,0.77,25.0,85.1
364.72,10.04,0.73,25.0,85.1
365.8,10.06,0.73,25.0,85.0
366.88,10.08,0.73,25.0,85.0
367.97,10.05,0.73,25.0,84.9
369.05,10.02,0.74,25.0,84.9
370.13,10.07,0.75,25.0,84.8
371.21,10.06,0.74,25.0,84.8
372.29,10.05,0.74,25.0,84.8
373.38,10.03,0.73,25.0,84.7
374.46,10.07,0.73,25.0,84.7
375.54,10.04,0.76,25.0,84.6
376.62,10.03,0.74,25.0,84.6
377.71,10.04,0.74,25.0,84.5
378.79,10.04,0.77,25.0,84.5
379.87,10.03,0.77,25.0,84.4
380.95,10.04,0.75,25.0,84.4
382.04,10.03,0.74,25.0,84.4
383.12,10.04,0.75,25.0,84.3
384.2,10.03,0.76,25.0,84.3
385.28,10.02,0.72,25.0,84.2
386.36,10.03,0.73,25.0,84.2
387.45,10.03,0.72,25.0,84.1
388.53,10.04,0.72,25.0,84.1
389.61,10.01,0.74,25.0,84.0
390.69,10.02,0.71,25.0,84.0
391.77,10.05,0.74,25.0,84.0
392.86,10.07,0.73,25.0,83.9
393.94,10.02,0.74,25.0,83.9
395.02,10.02,0.75,25.0,83.8
396.1,10.01,0.73,25.0,83.8
397.19,10.01,0.76,25.0,83.7
398.27,10.03,0.73,25.0,83.7
399.35,10.02,0.72,25.0,83.6
400.43,10.04,0.73,25.0,83.6
401.52,10.02,0.74,25.0,83.6
402.6,10.01,0.73,25.0,83.5
403.68,10.02,0.74,25.0,83.5
404.76,10.06,0.73,25.0,83.4
405.84,10.06,0.75,25.0,83.4
406.92,10.05,0.74,25.0,83.3
408.01,10.06,0.75,25.0,83.3
409.09,10.03,0.74,25.0,83.2
410.17,10.03,0.74,25.0,83.2
411.26,10.03,0.74,25.0,83.2
412.34,10.08,0.77,25.0,83.1
413.42,9.99,0.75,25.0,83.1
414.5,10.02,0.73,25.0,83.0
415.58,10.02,0.73,25.0,83.0
416.67,10.01,0.74,25.0,82.9
417.75,10.03,0.78,25.0,82.9
418.83,9.97,0.78,25.0,82.8
419.91,10.04,0.73,25.0,82.8
421.0,10.01,0.75,25.0,82.8
422.08,10.04,0.71,25.0,82.7
423.16,10.02,0.74,25.0,82.7
424.24,10.01,0.76,25.0,82.6
425.33,10.03,0.73,25.0,82.6
426.41,10.02,0.72,25.0,82.5
427.49,10.05,0.74,25.0,82.5
428.57,10.03,0.76,25.0,82.4
429.66,10.02,0.73,25.0,82.4
430.74,10.01,0.72,25.0,82.4
431.82,10.03,0.72,25.0,82.3
432.9,10.05,0.73,25.0,82.3
433.98,10.02,0.75,25.0,82.2
435.06,10.01,0.74,25.0,82.2
436.15,10.01,0.74,25.0,82.1
437.23,10.05,0.72,25.0,82.1
438.31,10.02,0.7,25.0,82.0
439.39,10.05,0.71,25.0,82.0
440.48,10.05,0.72,25.0,82.0
441.56,10.05,0.76,25.0,81.9
442.64,10.04,0.73,25.0,81.9
443.72,10.0,0.74,25.0,81.8
444.81,10.03,0.74,25.0,81.8
445.89,9.97,0.75,25.0,81.7
446.97,10.04,0.77,25.0,81.7
448.05,10.03,0.7,25.0,81.6
449.14,9.97,0.79,25.0,81.6
450.22,10.0,0.72,25.0,81.6
451.3,10.01,0.7,25.0,81.5
452.38,10.0,0.74,25.0,81.5
453.47,9.98,0.7,25.0,81.4
454.55,9.99,0.72,25.0,81.4
455.63,10.01,0.73,25.0,81.3
456.71,10.01,0.72,25.0,81.3
457.79,9.97,0.73,25.0,81.2
458.87,9.98,0.74,25.0,81.2
459.96,10.05,0.71,25.0,81.2
461.04,10.05,0.73,25.0,81.1
462.12,10.04,0.73,25.0,81.1
463.2,10.03,0.74,25.0,81.0
464.29,10.0,0.73,25.0,81.0
465.37,10.0,0.75,25.0,80.9
466.45,10.02,0.7,25.0,80.9
467.53,10.02,0.71,25.0,80.8
468.62,10.01,0.77,25.0,80.8
469.7,10.02,0.75,25.0,80.8
470.78,10.03,0.77,25.0,80.7
471.86,10.04,0.78,25.0,80.7
472.95,10.02,0.76,25.0,80.6
474.03,10.01,0.75,25.0,80.6
475.11,10.05,0.74,25.0,80.5
476.19,9.99,0.78,25.0,80.5
477.28,10.02,0.75,25.0,80.4
478.36,9.99,0.77,25.0,80.4
479.44,10.01,0.76,25.0,80.4
480.52,10.04,0.68,25.0,80.3
481.61,10.02,0.73,25.0,80.3
482.69,10.01,0.74,25.0,80.2
483.77,10.04,0.75,25.0,80.2
484.85,10.03,0.76,25.0,80.1
485.94,10.01,0.73,25.0,80.1
487.02,10.01,0.72,25.0,80.0
488.1,9.99,0.74,25.0,80.0
489.18,10.03,0.73,25.0,80.0
490.26,10.03,0.74,25.0,79.9
491.35,10.05,0.72,25.0,79.9
492.43,10.02,0.75,25.0,79.8
493.51,10.0,0.72,25.0,79.8
494.59,10.02,0.73,25.0,79.7
495.67,9.98,0.74,25.0,79.7
496.76,10.04,0.79,25.0,79.6
497.84,9.99,0.73,25.0,79.6
498.92,10.01,0.73,25.0,79.6
500.0,10.01,0.76,25.0,79.5
501.09,10.01,0.75,25.0,79.5
502.17,9.97,0.73,25.0,79.4
503.25,9.99,0.76,25.0,79.4
504.33,10.05,0.78,25.0,79.3
505.42,10.01,0.78,25.0,79.3
506.5,10.03,0.76,25.0,79.2
507.58,10.01,0.76,25.0,79.2
508.66,10.01,0.74,25.0,79.2
509.74,10.0,0.72,25.0,79.1
510.83,10.02,0.74,25.0,79.1
511.91,9.96,0.8,25.0,79.0
512.99,9.98,0.73,25.0,79.0
514.07,10.03,0.74,25.0,78.9
515.15,10.06,0.72,25.0,78.9
516.24,10.02,0.74,25.0,78.8
517.32,10.01,0.75,25.0,78.8
518.4,9.98,0.7,25.0,78.8
519.48,10.0,0.74,25.0,78.7
520.57,10.03,0.78,25.0,78.7
521.65,10.04,0.76,25.0,78.6
522.73,9.97,0.76,25.0,78.6
523.81,9.99,0.74,25.0,78.5
524.9,9.97,0.72,25.0,78.5
525.97,9.97,0.73,25.0,78.4
527.06,9.99,0.73,25.0,78.4
528.14,10.01,0.77,25.0,78.4
529.22,9.98,0.73,25.0,78.3
530.31,10.02,0.72,25.0,78.3
531.39,10.0,0.77,25.0,78.2
532.47,9.95,0.75,25.0,78.2
533.55,10.0,0.75,25.0,78.1
534.63,10.01,0.74,25.0,78.1
535.72,10.02,0.73,25.0,78.0
536.8,10.02,0.73,25.0,78.0
537.88,9.99,0.72,25.0,78.0
538.96,9.96,0.77,25.0,77.9
540.05,9.95,0.72,25.0,77.9
541.13,9.97,0.76,25.0,77.8
542.21,10.01,0.73,25.0,77.8
543.29,10.0,0.73,25.0,77.7
544.38,9.97,0.75,25.0,77.7
545.46,9.96,0.71,25.0,77.6
546.54,10.0,0.76,25.0,77.6
547.62,10.01,0.7,25.0,77.6
548.71,9.96,0.76,25.0,77.5
549.78,9.99,0.75,25.0,77.5
550.87,9.95,0.73,25.0,77.4
551.95,9.97,0.71,25.0,77.4
553.03,9.98,0.71,25.0,77.3
554.11,10.0,0.75,25.0,77.3
555.2,10.0,0.74,25.0,77.2
556.28,10.01,0.72,25.0,77.2
557.36,9.98,0.74,25.0,77.2
558.44,9.98,0.71,25.0,77.1
559.53,9.95,0.75,25.0,77.1
560.61,10.0,0.73,25.0,77.0
561.69,9.99,0.75,25.0,77.0
562.77,10.01,0.76,25.0,76.9
563.86,10.0,0.76,25.0,76.9
564.94,10.01,0.75,25.0,76.8
566.02,10.0,0.76,25.0,76.8
567.1,9.99,0.76,25.0,76.8
568.19,10.0,0.74,25.0,76.7
569.27,10.0,0.7,25.0,76.7
570.35,10.0,0.73,25.0,76.6
571.43,9.98,0.71,25.0,76.6
572.51,9.98,0.7,25.0,76.5
573.59,9.98,0.7,25.0,76.5
574.68,10.01,0.71,25.0,76.4
575.76,10.01,0.71,25.0,76.4
576.84,9.99,0.73,25.0,76.4
577.92,9.99,0.73,25.0,76.3
579.01,10.0,0.73,25.0,76.3
580.09,9.98,0.75,25.0,76.2
581.17,10.0,0.76,25.0,76.2
582.25,9.98,0.77,25.0,76.1
583.34,9.97,0.74,25.0,76.1
584.42,9.92,0.73,25.0,76.0
585.5,9.97,0.71,25.0,76.0
586.58,10.0,0.72,25.0,76.0
587.67,9.99,0.73,25.0,75.9
588.75,9.99,0.76,25.0,75.9
589.83,10.01,0.74,25.0,75.8
590.91,9.93,0.74,25.0,75.8
592.0,9.94,0.74,25.0,75.7
593.08,10.0,0.72,25.0,75.7
594.16,9.98,0.72,25.0,75.6
595.24,10.01,0.78,25.0,75.6
596.32,9.98,0.74,25.0,75.6
597.4,9.95,0.73,25.0,75.5
598.49,9.94,0.72,25.0,75.5
599.57,10.02,0.7,25.0,75.4
600.65,9.98,0.75,25.0,75.4
601.73,9.93,0.73,25.0,75.3
602.82,9.98,0.72,25.0,75.3
603.9,10.01,0.72,25.0,75.2
604.98,9.99,0.77,25.0,75.2
606.06,9.98,0.74,25.0,75.2
607.15,9.98,0.74,25.0,75.1
608.23,9.96,0.73,25.0,75.1
609.31,9.97,0.74,25.0,75.0
610.39,9.99,0.73,25.0,75.0
611.47,9.99,0.73,25.0,74.9
612.55,9.97,0.75,25.0,74.9
613.64,9.97,0.77,25.0,74.8
614.72,9.96,0.76,25.0,74.8
615.8,9.96,0.76,25.0,74.8
616.89,9.97,0.76,25.0,74.7
617.97,9.97,0.74,25.0,74.7
619.05,9.98,0.77,25.0,74.6
620.13,9.97,0.77,25.0,74.6
621.21,9.95,0.75,25.0,74.5
622.3,9.99,0.77,25.0,74.5
623.38,9.97,0.78,25.0,74.4
624.46,9.99,0.75,25.0,74.4
625.54,9.97,0.7,25.0,74.4
626.63,9.99,0.76,25.0,74.3
627.71,9.99,0.73,25.0,74.3
628.79,9.97,0.77,25.0,74.2
629.87,9.93,0.73,25.0,74.2
630.96,9.96,0.73,25.0,74.1
632.04,9.99,0.71,25.0,74.1
633.12,9.96,0.71,25.0,74.0
634.2,10.0,0.75,25.0,74.0
635.28,9.99,0.76,25.0,74.0
636.37,9.96,0.73,25.0,73.9
637.45,9.97,0.77,25.0,73.9
638.53,9.99,0.74,25.0,73.8
639.61,9.98,0.75,25.0,73.8
640.7,9.98,0.73,25.0,73.7
641.78,9.98,0.74,25.0,73.7
642.86,9.97,0.75,25.0,73.6
643.94,9.98,0.76,25.0,73.6
645.02,9.98,0.76,25.0,73.6
646.11,9.94,0.75,25.0,73.5
647.19,9.98,0.73,25.0,73.5
648.27,9.98,0.73,25.0,73.4
649.35,9.99,0.73,25.0,73.4
650.44,9.98,0.75,25.0,73.3
651.52,9.94,0.76,25.0,73.3
652.6,9.96,0.74,25.0,73.2
653.68,9.97,0.74,25.0,73.2
654.77,9.95,0.74,25.0,73.2
655.84,9.98,0.76,25.0,73.1
656.93,9.94,0.77,25.0,73.1
658.01,9.96,0.73,25.0,73.0
659.09,9.93,0.75,25.0,73.0
660.17,9.97,0.74,25.0,72.9
661.26,9.97,0.75,25.0,72.9
662.34,9.96,0.76,25.0,72.8
663.42,9.96,0.78,25.0,72.8
664.5,9.94,0.75,25.0,72.8
665.59,9.98,0.76,25.0,72.7
666.67,9.95,0.74,25.0,72.7
667.75,9.97,0.77,25.0,72.6
668.83,9.95,0.73,25.0,72.6
669.92,9.95,0.73,25.0,72.5
671.0,9.95,0.75,25.0,72.5
672.08,9.97,0.79,25.0,72.4
673.16,9.98,0.76,25.0,72.4
674.24,9.94,0.76,25.0,72.4
675.32,10.01,0.76,25.0,72.3
676.41,9.93,0.76,25.0,72.3
677.49,9.93,0.76,25.0,72.2
678.57,9.91,0.75,25.0,72.2
679.66,9.94,0.74,25.0,72.1
680.74,9.96,0.75,25.0,72.1
681.82,9.94,0.75,25.0,72.0
682.9,9.94,0.74,25.0,72.0
683.98,9.96,0.79,25.0,72.0
685.07,9.96,0.78,25.0,71.9
686.15,9.94,0.76,25.0,71.9
687.23,9.95,0.77,25.0,71.8
688.31,9.96,0.74,25.0,71.8
689.4,9.97,0.75,25.0,71.7
690.48,9.96,0.76,25.0,71.7
691.56,9.95,0.75,25.0,71.6
692.64,9.95,0.75,25.0,71.6
693.72,9.92,0.77,25.0,71.6
694.8,9.96,0.76,25.0,71.5
695.89,9.96,0.77,25.0,71.5
696.97,9.96,0.76,25.0,71.4
698.05,9.98,0.75,25.0,71.4
699.13,9.92,0.75,25.0,71.3
700.22,9.97,0.75,25.0,71.3
701.3,9.96,0.74,25.0,71.2
702.38,9.92,0.73,25.0,71.2
703.46,9.91,0.72,25.0,71.2
704.55,9.92,0.72,25.0,71.1
705.63,9.95,0.75,25.0,71.1
706.71,9.95,0.74,25.0,71.0
707.79,9.94,0.74,25.0,71.0
708.88,9.95,0.78,25.0,70.9
709.96,9.95,0.77,25.0,70.9
711.04,9.95,0.75,25.0,70.8
712.12,9.95,0.74,25.0,70.8
713.21,9.94,0.77,25.0,70.8
714.29,9.95,0.75,25.0,70.7
715.37,9.95,0.74,25.0,70.7
716.45,9.96,0.74,25.0,70.6
717.53,9.94,0.76,25.0,70.6
718.61,9.94,0.75,25.0,70.5
719.7,9.93,0.76,25.0,70.5
720.78,9.97,0.74,25.0,70.4
721.86,9.96,0.74,25.0,70.4
722.95,9.96,0.77,25.0,70.4
724.03,9.97,0.78,25.0,70.3
725.11,9.9,0.72,25.0,70.3
726.19,9.93,0.77,25.0,70.2
727.27,9.92,0.78,25.0,70.2
728.36,9.9,0.74,25.0,70.1
729.44,9.96,0.74,25.0,70.1
730.52,9.93,0.74,25.0,70.0
731.6,9.94,0.75,25.0,70.0
732.69,9.94,0.77,25.0,70.0
733.77,9.92,0.74,25.0,69.9
734.85,9.9,0.75,25.0,69.9
735.93,9.92,0.79,25.0,69.8
737.01,9.91,0.73,25.0,69.8
738.09,9.9,0.74,25.0,69.7
739.18,9.93,0.74,25.0,69.7
740.26,9.98,0.76,25.0,69.6
741.34,9.93,0.76,25.0,69.6
742.42,9.92,0.76,25.0,69.6
743.51,9.95,0.75,25.0,69.5
744.59,9.93,0.76,25.0,69.5
745.67,9.91,0.74,25.0,69.4
746.75,9.97,0.73,25.0,69.4
747.84,9.94,0.74,25.0,69.3
748.92,9.94,0.74,25.0,69.3
750.0,9.97,0.75,25.0,69.2
751.08,9.91,0.77,25.0,69.2
752.16,9.92,0.77,25.0,69.2
753.25,9.93,0.75,25.0,69.1
754.33,9.94,0.76,25.0,69.1
