time_s,time_min,soc_percent,voltage_V,current_A,speed_mps,temperature_C
10.7,0.17833333333333332,94.42,13.031,3.379,1.642,31.29
10.8,0.18000000000000002,94.42,13.041,3.409,1.642,31.08
10.9,0.18166666666666667,94.42,13.06,3.347,1.764,31.12
11.0,0.18333333333333332,94.42,13.035,3.051,1.499,31.08
11.1,0.185,94.42,13.025,3.105,1.566,31.25
11.2,0.18666666666666665,94.42,13.074,2.958,1.341,30.79
11.3,0.18833333333333335,94.32,13.062,3.05,1.472,31.01
11.4,0.19,94.32,13.054,2.946,1.504,30.9
11.5,0.19166666666666668,94.2,13.07,2.819,1.373,31.04
11.6,0.19333333333333333,94.19,13.074,2.531,1.301,30.9
11.7,0.19499999999999998,94.19,13.029,2.675,1.329,30.88
11.8,0.19666666666666668,94.19,13.046,2.712,1.327,30.87
11.9,0.19833333333333333,94.12,13.044,2.628,1.283,31.2
12.0,0.2,94.12,13.023,2.763,1.348,30.62
12.1,0.20166666666666666,94.12,13.075,2.291,1.166,30.97
12.2,0.2033333333333333,93.72,13.042,1.989,1.062,30.51
12.3,0.20500000000000002,93.72,13.028,2.162,1.059,30.1
12.4,0.20666666666666667,93.72,13.048,2.034,1.023,30.44
12.5,0.20833333333333334,93.72,13.038,2.011,0.997,30.04
12.6,0.21,93.72,13.045,2.259,0.946,30.51
12.7,0.21166666666666664,93.72,13.034,2.098,0.922,29.94
12.8,0.21333333333333335,93.72,13.022,1.6,0.734,30.33
12.9,0.215,93.72,13.043,1.736,0.893,30.04
13.0,0.21666666666666667,93.7,13.028,1.478,0.741,30.49
13.1,0.21833333333333332,93.63,13.036,1.518,0.653,29.93
13.2,0.22,93.62,13.034,1.791,0.757,30.29
13.3,0.22166666666666668,93.62,13.041,1.654,0.771,29.85
13.4,0.22333333333333333,93.62,13.015,1.513,0.665,30.08
13.5,0.225,93.62,13.016,1.407,0.598,30.06
13.6,0.22666666666666666,93.58,13.038,1.274,0.47,30.1
13.7,0.22833333333333333,93.27,13.04,1.396,0.734,30.66
13.8,0.23,93.27,13.017,1.354,0.575,30.43
13.9,0.23166666666666666,93.27,13.089,1.103,0.419,30.07
14.0,0.23333333333333334,93.27,13.009,1.231,0.454,29.87
14.1,0.235,93.14,12.992,1.3,0.529,29.92
14.2,0.23666666666666666,93.14,13.045,0.894,0.403,29.67
14.3,0.23833333333333334,93.14,13.0,1.215,0.547,29.73
14.4,0.24000000000000002,92.98,13.004,1.022,0.503,30.0
14.5,0.24166666666666667,92.83,13.015,1.481,0.643,30.1
14.6,0.24333333333333332,92.83,13.022,1.454,0.628,30.23
14.7,0.245,92.81,13.041,0.973,0.34,29.75
14.8,0.24666666666666667,92.81,13.054,1.202,0.566,30.04
14.9,0.24833333333333335,92.81,12.991,0.954,0.439,30.24
15.0,0.25,92.28,13.021,1.677,0.663,30.33
15.1,0.25166666666666665,92.28,13.0,1.39,0.594,30.3
15.2,0.2533333333333333,92.28,12.992,1.643,0.63,30.01
15.3,0.255,92.28,13.012,1.264,0.507,29.96
15.4,0.25666666666666665,92.28,12.996,1.463,0.744,30.02
15.5,0.25833333333333336,92.21,12.993,1.774,0.765,30.43
15.6,0.26,92.21,12.98,1.391,0.524,30.15
15.7,0.26166666666666666,92.21,12.993,1.407,0.645,29.92
15.8,0.26333333333333336,92.21,13.008,1.089,0.567,29.99
15.9,0.265,91.97,12.996,1.504,0.625,30.19
16.0,0.26666666666666666,91.97,12.991,1.239,0.531,29.61
16.1,0.26833333333333337,91.79,12.955,1.751,0.788,30.3
16.2,0.26999999999999996,91.79,12.929,0.997,0.566,30.15
16.3,0.27166666666666667,91.79,12.96,1.482,0.626,29.93
16.4,0.2733333333333333,91.79,13.004,1.222,0.696,30.27
16.5,0.275,91.57,12.966,1.293,0.61,30.22
16.6,0.27666666666666667,91.57,12.981,1.573,0.648,30.25
16.7,0.2783333333333333,91.57,12.961,1.211,0.628,30.11
16.8,0.28,91.57,12.972,1.279,0.668,29.84
16.9,0.2816666666666666,91.57,12.95,1.31,0.591,30.24
17.0,0.2833333333333333,91.57,12.954,1.677,0.655,29.93
17.1,0.28500000000000003,91.49,12.958,1.717,0.68,30.03
17.2,0.2866666666666667,91.49,12.971,1.443,0.675,30.28
17.3,0.28833333333333333,91.49,12.988,1.702,0.712,30.03
17.4,0.29,91.49,12.996,1.612,0.69,30.75
17.5,0.2916666666666667,91.49,13.003,1.735,0.78,30.41
17.6,0.29333333333333333,91.17,13.0,1.602,0.699,30.48
17.7,0.295,90.8,12.918,1.509,0.72,30.44
17.8,0.2966666666666667,90.8,12.954,1.627,0.684,30.17
17.9,0.2983333333333333,90.8,12.946,1.688,0.701,30.31
18.0,0.3,90.8,12.9,1.789,0.647,30.49
18.1,0.3016666666666667,90.8,12.963,1.842,0.796,30.4
18.2,0.30333333333333334,90.8,13.0,1.209,0.669,30.42
18.3,0.305,90.8,12.968,1.427,0.706,30.42
18.4,0.30666666666666664,90.29,12.966,1.781,0.801,30.43
18.5,0.30833333333333335,90.29,12.93,1.766,0.81,30.68
18.6,0.31,90.29,12.921,1.429,0.751,30.18
18.7,0.31166666666666665,90.29,12.954,1.413,0.628,30.35
18.8,0.31333333333333335,90.29,12.961,1.748,0.829,30.4
18.9,0.315,90.29,12.948,1.772,0.822,30.31
19.0,0.31666666666666665,90.29,12.944,1.533,0.694,30.0
19.1,0.31833333333333336,90.29,12.954,1.983,0.874,30.32
19.2,0.32,90.29,12.942,1.847,0.762,30.44
19.3,0.32166666666666666,90.29,12.955,1.703,0.734,30.44
19.4,0.3233333333333333,90.29,12.953,1.674,0.838,29.79
19.5,0.325,90.29,12.914,1.674,0.821,30.22
19.6,0.3266666666666667,90.29,12.963,1.764,0.858,30.52
19.7,0.3283333333333333,90.29,12.945,1.587,0.719,30.23
19.8,0.33,90.29,12.958,2.045,0.998,30.27
19.9,0.33166666666666667,90.29,12.955,1.717,0.811,30.1
20.0,0.3333333333333333,90.29,12.95,1.524,0.742,30.66
20.1,0.335,90.29,12.979,2.07,0.92,30.16
20.2,0.33666666666666667,90.29,12.943,1.928,0.848,30.4
20.3,0.3383333333333333,90.09,12.953,2.049,0.908,30.76
20.4,0.33999999999999997,89.85,12.946,1.839,0.861,29.93
20.5,0.3416666666666667,89.85,12.955,1.954,0.889,30.67
20.6,0.3433333333333334,89.85,12.947,1.845,0.919,30.04
20.7,0.345,89.54,12.913,1.7,0.846,30.6
20.8,0.3466666666666667,89.54,12.907,1.972,0.966,31.18
20.9,0.34833333333333333,89.54,12.95,1.953,0.88,30.19
21.0,0.35,89.54,12.896,1.818,0.853,30.41
21.1,0.3516666666666667,89.54,12.911,1.845,0.935,30.53
21.2,0.35333333333333333,89.54,12.923,2.057,0.97,30.43
21.3,0.35500000000000004,89.54,12.909,2.01,0.922,30.68
21.4,0.35666666666666663,89.54,12.921,1.898,0.877,30.3
21.5,0.35833333333333334,89.54,12.93,2.022,1.002,30.41
21.6,0.36000000000000004,89.54,12.929,1.778,0.817,30.2
21.7,0.36166666666666664,89.54,12.951,1.835,0.881,30.43
21.8,0.36333333333333334,89.54,12.937,2.011,0.973,30.67
21.9,0.365,89.54,12.938,1.848,0.866,30.7
22.0,0.36666666666666664,89.21,12.95,2.16,0.983,30.61
22.1,0.36833333333333335,89.05,12.954,2.287,0.982,30.45
22.2,0.37,89.05,12.934,2.403,1.065,30.67
22.3,0.3716666666666667,89.05,12.913,2.041,0.925,30.45
22.4,0.3733333333333333,89.05,12.915,1.969,0.954,30.44
22.5,0.375,89.05,12.915,2.129,1.037,30.78
22.6,0.3766666666666667,89.05,12.908,1.743,0.819,30.36
22.7,0.3783333333333333,88.66,12.916,2.724,1.27,31.01
22.8,0.38,88.66,12.916,1.717,0.972,30.4
22.9,0.38166666666666665,88.66,12.93,2.086,0.975,30.59
23.0,0.38333333333333336,88.66,12.892,2.055,1.108,30.47
23.1,0.385,88.66,12.92,2.175,1.042,30.85
23.2,0.38666666666666666,88.66,12.928,2.094,0.908,30.59
23.3,0.38833333333333336,88.66,12.903,2.183,1.107,30.64
23.4,0.38999999999999996,88.66,12.939,2.061,1.131,30.32
23.5,0.39166666666666666,88.66,12.921,2.314,1.032,30.58
23.6,0.39333333333333337,88.66,12.923,2.373,1.051,30.64
23.7,0.39499999999999996,88.66,12.92,2.373,1.119,30.93
23.8,0.39666666666666667,88.66,12.879,2.274,1.013,30.29
23.9,0.3983333333333333,88.66,12.899,2.231,1.126,30.89
24.0,0.4,88.23,12.895,2.434,1.107,30.86
24.1,0.40166666666666667,88.23,12.868,2.378,1.041,30.62
24.2,0.4033333333333333,88.23,12.882,2.153,0.987,30.45
24.3,0.405,88.23,12.909,2.284,1.084,30.87
24.4,0.4066666666666666,88.23,12.92,2.317,1.035,30.82
24.5,0.4083333333333333,87.83,12.866,2.576,1.189,30.42
24.6,0.41000000000000003,87.83,12.939,2.233,1.124,30.54
24.7,0.4116666666666667,87.53,12.882,2.584,1.178,30.7
24.8,0.41333333333333333,87.53,12.863,2.423,1.13,30.81
24.9,0.415,87.53,12.886,2.377,1.144,30.65
25.0,0.4166666666666667,87.53,12.889,2.37,1.063,30.92
25.1,0.41833333333333333,87.53,12.86,2.54,1.183,30.78
25.2,0.42,87.53,12.893,2.686,1.276,30.93
25.3,0.4216666666666667,87.53,12.889,2.24,1.112,31.04
25.4,0.4233333333333333,87.41,12.849,2.366,1.092,30.75
25.5,0.425,87.41,12.897,2.202,1.131,30.59
25.6,0.4266666666666667,87.41,12.886,2.28,1.108,30.77
25.7,0.42833333333333334,87.41,12.834,2.066,1.094,30.31
25.8,0.43,87.41,12.829,2.192,1.165,30.31
25.9,0.43166666666666664,87.41,12.887,2.394,1.134,30.82
26.0,0.43333333333333335,87.41,12.867,2.586,1.276,30.8
26.1,0.435,86.78,12.876,2.405,1.164,30.48
26.2,0.43666666666666665,86.78,12.875,2.519,1.193,31.14
26.3,0.43833333333333335,86.78,12.844,2.587,1.247,31.12
26.4,0.44,86.78,12.857,2.264,1.15,30.81
26.5,0.44166666666666665,86.78,12.858,2.636,1.293,30.85
26.6,0.44333333333333336,86.78,12.838,2.327,1.131,30.75
26.7,0.445,86.78,12.842,2.254,1.12,30.61
26.8,0.44666666666666666,86.78,12.855,2.371,1.159,31.04
26.9,0.4483333333333333,86.78,12.853,2.384,1.182,30.48
27.0,0.45,86.78,12.849,2.171,1.083,30.78
27.1,0.4516666666666667,86.78,12.855,2.412,1.196,30.86
27.2,0.4533333333333333,86.78,12.826,2.252,1.069,30.48
27.3,0.455,86.78,12.815,2.918,1.317,31.31
27.4,0.45666666666666667,86.78,12.896,2.366,1.202,30.75
27.5,0.4583333333333333,86.64,12.863,2.452,1.161,31.35
27.6,0.46,86.64,12.827,2.182,1.143,31.02
27.7,0.46166666666666667,86.64,12.882,2.63,1.188,30.98
27.8,0.4633333333333333,86.64,12.817,2.429,1.205,30.78
27.9,0.46499999999999997,86.64,12.831,2.373,1.143,30.67
28.0,0.4666666666666667,86.64,12.877,2.534,1.156,30.76
28.1,0.4683333333333334,86.64,12.839,2.611,1.218,31.07
28.2,0.47,86.64,12.836,2.272,1.195,30.43
28.3,0.4716666666666667,86.35,12.83,2.734,1.315,31.31
28.4,0.47333333333333333,86.35,12.871,2.675,1.334,31.21
28.5,0.475,86.35,12.828,2.621,1.248,30.97
28.6,0.4766666666666667,86.35,12.831,2.637,1.288,31.2
28.7,0.47833333333333333,86.2,12.832,2.453,1.147,31.48
28.8,0.48000000000000004,86.2,12.844,2.69,1.308,31.12
28.9,0.48166666666666663,86.2,12.827,2.548,1.258,31.39
29.0,0.48333333333333334,86.2,12.853,2.786,1.303,31.03
29.1,0.48500000000000004,86.2,12.84,2.627,1.396,30.86
29.2,0.48666666666666664,85.93,12.845,2.207,1.089,31.01
29.3,0.48833333333333334,85.93,12.806,2.517,1.295,30.47
29.4,0.49,85.82,12.802,2.425,1.19,31.14
29.5,0.49166666666666664,85.82,12.819,2.64,1.329,31.03
29.6,0.49333333333333335,85.82,12.801,2.406,1.18,30.77
29.7,0.495,85.82,12.838,2.489,1.249,30.96
29.8,0.4966666666666667,85.74,12.819,2.598,1.308,31.03
29.9,0.4983333333333333,85.51,12.816,2.522,1.344,31.27
30.0,0.5,85.09,12.801,2.644,1.305,31.25
30.1,0.5016666666666667,85.09,12.81,2.567,1.239,31.04
30.2,0.5033333333333333,85.09,12.802,2.499,1.261,30.9
30.3,0.505,85.09,12.798,2.705,1.38,30.84
30.4,0.5066666666666666,85.09,12.826,2.584,1.312,31.06
30.5,0.5083333333333333,85.09,12.832,2.628,1.181,30.39
30.6,0.51,85.09,12.784,2.819,1.387,31.39
30.7,0.5116666666666666,85.09,12.763,2.787,1.356,31.13
30.8,0.5133333333333333,85.09,12.797,2.777,1.396,30.71
30.9,0.515,85.09,12.832,2.585,1.303,31.16
31.0,0.5166666666666667,85.09,12.806,2.713,1.399,30.87
31.1,0.5183333333333333,85.09,12.78,2.738,1.252,30.99
31.2,0.52,85.09,12.809,2.59,1.386,30.58
31.3,0.5216666666666667,84.78,12.788,2.684,1.304,30.89
31.4,0.5233333333333333,84.78,12.8,2.819,1.401,31.2
31.5,0.525,84.78,12.812,2.845,1.431,31.16
31.6,0.5266666666666667,84.78,12.797,2.443,1.295,31.01
31.7,0.5283333333333333,84.78,12.773,2.588,1.353,30.85
31.8,0.53,84.78,12.795,2.873,1.364,31.34
31.9,0.5316666666666666,84.78,12.772,2.844,1.459,30.81
32.0,0.5333333333333333,84.53,12.819,2.97,1.425,31.12
32.1,0.535,84.53,12.784,2.673,1.274,30.42
32.2,0.5366666666666667,84.53,12.766,2.91,1.411,31.15
32.3,0.5383333333333333,84.53,12.795,2.979,1.438,31.13
32.4,0.5399999999999999,84.53,12.791,2.947,1.551,31.2
32.5,0.5416666666666666,84.53,12.777,2.494,1.251,31.12
32.6,0.5433333333333333,84.53,12.736,2.803,1.345,31.5
32.7,0.545,84.24,12.775,2.846,1.499,30.9
32.8,0.5466666666666666,84.2,12.768,2.816,1.287,31.12
32.9,0.5483333333333333,84.2,12.771,2.578,1.303,30.55
33.0,0.55,84.2,12.742,2.891,1.444,31.68
33.1,0.5516666666666666,83.89,12.779,2.854,1.487,31.53
33.2,0.5533333333333333,83.89,12.752,2.784,1.356,31.28
33.3,0.5549999999999999,83.89,12.773,2.832,1.456,31.5
33.4,0.5566666666666666,83.89,12.766,2.837,1.425,31.41
33.5,0.5583333333333333,83.89,12.744,2.937,1.541,31.1
33.6,0.56,83.81,12.768,3.004,1.423,31.48
33.7,0.5616666666666668,83.81,12.756,2.814,1.506,31.49
33.8,0.5633333333333332,83.81,12.766,2.798,1.358,31.39
33.9,0.565,83.69,12.768,2.882,1.419,31.22
34.0,0.5666666666666667,83.66,12.76,2.925,1.429,31.17
34.1,0.5683333333333334,83.66,12.727,2.934,1.531,31.86
34.2,0.5700000000000001,83.66,12.775,3.106,1.49,31.44
34.3,0.5716666666666667,83.52,12.758,2.912,1.387,31.4
34.4,0.5733333333333334,83.52,12.774,3.028,1.505,30.98
34.5,0.575,83.36,12.756,3.066,1.516,31.53
34.6,0.5766666666666667,82.91,12.738,2.888,1.449,31.31
34.7,0.5783333333333334,82.91,12.733,2.97,1.44,31.09
34.8,0.58,82.91,12.731,2.809,1.449,31.53
34.9,0.5816666666666667,82.91,12.718,2.765,1.332,31.18
35.0,0.5833333333333334,82.91,12.761,3.024,1.486,31.5
35.1,0.5850000000000001,82.91,12.782,2.819,1.494,31.33
35.2,0.5866666666666667,82.78,12.756,2.521,1.409,30.87
35.3,0.5883333333333333,82.78,12.744,3.06,1.541,31.44
35.4,0.59,82.78,12.75,2.75,1.372,31.53
35.5,0.5916666666666667,82.78,12.743,3.032,1.436,31.08
35.6,0.5933333333333334,82.78,12.76,2.902,1.441,31.02
35.7,0.5950000000000001,82.78,12.759,3.188,1.637,31.22
35.8,0.5966666666666666,82.72,12.774,2.566,1.349,31.26
35.9,0.5983333333333333,82.72,12.764,3.028,1.521,31.24
36.0,0.6,82.36,12.726,3.021,1.551,31.43
36.1,0.6016666666666667,82.36,12.709,2.875,1.504,31.55
36.2,0.6033333333333334,82.36,12.752,3.107,1.568,31.13
36.3,0.605,82.36,12.74,2.932,1.392,31.67
36.4,0.6066666666666667,82.36,12.761,2.63,1.288,31.13
36.5,0.6083333333333333,82.36,12.727,2.93,1.531,31.26
36.6,0.61,82.34,12.775,2.811,1.373,31.62
36.7,0.6116666666666667,82.34,12.753,2.763,1.442,31.32
36.8,0.6133333333333333,82.34,12.764,2.581,1.372,30.77
36.9,0.615,82.34,12.732,3.149,1.55,31.43
37.0,0.6166666666666667,82.34,12.752,2.995,1.534,31.16
37.1,0.6183333333333334,82.23,12.75,2.964,1.406,31.4
37.2,0.62,82.23,12.787,3.1,1.535,31.3
37.3,0.6216666666666666,81.86,12.708,2.851,1.471,31.18
37.4,0.6233333333333333,81.86,12.71,2.935,1.449,31.56
37.5,0.625,81.86,12.711,3.09,1.464,30.99
37.6,0.6266666666666667,81.86,12.723,2.873,1.442,31.36
37.7,0.6283333333333334,81.8,12.734,2.884,1.506,31.24
37.8,0.63,81.8,12.762,2.886,1.481,31.38
37.9,0.6316666666666666,81.8,12.73,2.771,1.427,30.64
38.0,0.6333333333333333,81.78,12.714,2.92,1.534,31.08
38.1,0.635,81.78,12.726,2.672,1.404,31.07
38.2,0.6366666666666667,81.68,12.727,3.005,1.474,31.79
38.3,0.6383333333333333,81.68,12.697,3.105,1.484,31.12
38.4,0.64,81.68,12.7,3.078,1.568,31.14
38.5,0.6416666666666667,81.68,12.71,2.929,1.408,31.29
38.6,0.6433333333333333,81.64,12.729,3.265,1.587,31.62
38.7,0.645,81.64,12.727,3.131,1.46,31.31
38.8,0.6466666666666666,81.2,12.73,2.851,1.43,31.31
38.9,0.6483333333333333,81.2,12.698,2.76,1.39,30.83
39.0,0.65,81.2,12.71,3.032,1.49,31.83
39.1,0.6516666666666667,81.2,12.689,2.914,1.446,31.25
39.2,0.6533333333333334,80.99,12.675,2.771,1.353,31.28
39.3,0.6549999999999999,80.91,12.694,2.885,1.349,32.0
39.4,0.6566666666666666,80.91,12.691,2.758,1.394,31.1
39.5,0.6583333333333333,80.91,12.713,2.816,1.383,30.97
39.6,0.66,80.91,12.704,2.925,1.524,31.1
39.7,0.6616666666666667,80.91,12.699,3.063,1.545,31.85
39.8,0.6633333333333333,80.91,12.704,2.926,1.504,31.31
39.9,0.6649999999999999,80.91,12.654,2.841,1.462,31.11
40.0,0.6666666666666666,80.91,12.723,2.79,1.398,31.26
40.1,0.6683333333333333,80.5,12.708,2.832,1.437,31.29
40.2,0.67,80.5,12.661,3.059,1.508,31.69
40.3,0.6716666666666666,80.5,12.688,3.299,1.612,31.76
40.4,0.6733333333333333,80.5,12.664,2.857,1.52,31.41
40.5,0.675,80.5,12.725,2.993,1.429,31.52
40.6,0.6766666666666666,80.5,12.681,2.66,1.46,31.0
40.7,0.6783333333333333,80.37,12.662,2.891,1.423,31.03
40.8,0.6799999999999999,80.26,12.66,2.912,1.404,31.46
40.9,0.6816666666666666,80.22,12.672,2.843,1.456,31.45
41.0,0.6833333333333333,80.22,12.668,2.957,1.492,31.43
41.1,0.685,80.22,12.657,3.136,1.628,31.57
41.2,0.6866666666666668,80.22,12.662,3.089,1.49,31.63
41.3,0.6883333333333332,80.22,12.676,2.798,1.599,31.01
41.4,0.69,79.78,12.683,3.13,1.637,31.41
41.5,0.6916666666666667,79.78,12.638,2.779,1.507,31.07
41.6,0.6933333333333334,79.78,12.668,3.263,1.634,31.12
41.7,0.6950000000000001,79.78,12.658,3.277,1.567,31.73
41.8,0.6966666666666667,79.78,12.632,3.11,1.482,31.44
41.9,0.6983333333333334,79.78,12.676,3.154,1.541,31.62
42.0,0.7,79.78,12.65,3.077,1.526,31.63
42.1,0.7016666666666667,79.78,12.69,2.928,1.511,31.16
42.2,0.7033333333333334,79.78,12.65,3.179,1.518,31.92
42.3,0.705,79.78,12.647,3.166,1.551,31.61
42.4,0.7066666666666667,79.49,12.639,3.041,1.579,31.71
42.5,0.7083333333333334,79.49,12.63,2.807,1.478,31.75
42.6,0.7100000000000001,79.49,12.672,3.02,1.553,31.33
42.7,0.7116666666666667,79.49,12.645,3.016,1.437,31.3
42.8,0.7133333333333333,79.27,12.669,3.302,1.584,31.67
42.9,0.715,78.78,12.619,3.407,1.618,31.97
43.0,0.7166666666666667,78.78,12.651,3.062,1.586,31.77
43.1,0.7183333333333334,78.78,12.61,3.139,1.601,31.04
43.2,0.7200000000000001,78.78,12.665,3.4,1.63,32.05
43.3,0.7216666666666666,78.78,12.623,3.089,1.535,31.39
43.4,0.7233333333333333,78.78,12.623,3.224,1.574,31.71
43.5,0.725,78.78,12.607,3.091,1.638,31.18
43.6,0.7266666666666667,78.78,12.638,3.284,1.683,31.4
43.7,0.7283333333333334,78.78,12.68,3.248,1.639,31.7
