Time_s,SoC_%,Voltage_V,Current_A,Speed_mps,Temperature_C
159.4,98.78,13.21,3.245,1.585,29.78
163.0,98.75,13.208,3.068,1.547,29.82
166.5,98.72,13.222,3.187,1.63,29.87
170.1,98.69,13.23,3.044,1.596,29.87
173.6,98.66,13.189,3.218,1.632,29.77
177.2,98.63,13.188,3.228,1.708,29.62
180.7,98.59,13.197,3.266,1.665,29.43
184.2,98.56,13.185,3.56,1.908,29.78
187.8,98.53,13.169,3.544,1.729,29.69
191.3,98.5,13.21,2.923,1.483,29.27
194.9,98.47,13.208,3.13,1.574,30.04
198.4,98.43,13.209,3.036,1.535,29.31
202.0,98.4,13.219,3.055,1.609,29.76
205.5,98.37,13.19,3.285,1.598,29.88
209.1,98.34,13.202,2.78,1.477,29.55
212.6,98.3,13.159,3.255,1.612,30.29
216.1,98.27,13.185,3.467,1.711,29.84
219.7,98.24,13.158,3.6,1.833,29.73
223.2,98.2,13.191,3.039,1.653,30.05
226.8,98.17,13.167,3.428,1.735,29.67
230.3,98.14,13.144,3.478,1.743,29.56
233.9,98.1,13.168,3.366,1.613,29.61
237.4,98.07,13.165,2.832,1.453,29.5
240.9,98.04,13.218,2.481,1.269,29.52
244.5,98.0,13.173,3.101,1.504,29.8
248.0,97.97,13.204,3.257,1.637,29.48
251.6,97.94,13.16,3.632,1.792,29.99
255.1,97.9,13.155,3.529,1.869,30.34
258.7,97.87,13.171,3.341,1.692,29.68
262.2,97.83,13.156,3.71,1.901,29.92
265.7,97.8,13.149,3.428,1.845,30.0
269.3,97.77,13.14,3.702,2.007,30.2
272.8,97.73,13.141,3.631,1.878,29.79
276.4,97.7,13.197,3.412,1.777,29.66
279.9,97.66,13.151,3.542,1.817,29.7
283.5,97.63,13.132,3.324,1.736,30.05
287.0,97.59,13.165,3.458,1.75,30.06
290.5,97.56,13.196,3.396,1.847,29.42
294.1,97.53,13.153,3.181,1.807,29.35
297.6,97.49,13.203,3.473,1.841,29.64
301.2,97.46,13.143,3.545,1.844,29.61
304.7,97.42,13.163,3.47,1.798,29.98
308.3,97.39,13.15,3.269,1.676,29.87
311.8,97.35,13.167,3.035,1.524,30.14
315.4,97.32,13.143,3.176,1.567,29.96
318.9,97.28,13.16,2.915,1.512,29.73
322.4,97.25,13.132,3.083,1.572,30.01
326.0,97.21,13.17,3.289,1.728,29.66
329.5,97.18,13.122,3.472,1.695,29.62
333.1,97.14,13.164,3.144,1.578,29.8
336.6,97.1,13.173,2.962,1.488,29.92
340.2,97.07,13.149,3.103,1.517,29.46
343.7,97.03,13.144,3.339,1.629,30.05
347.2,97.0,13.14,3.353,1.76,30.05
350.8,96.96,13.127,3.457,1.781,29.81
354.3,96.93,13.127,3.585,1.766,30.0
357.9,96.89,13.154,3.108,1.479,29.74
361.4,96.85,13.155,2.8,1.392,29.71
365.0,96.82,13.139,2.97,1.471,29.92
368.5,96.78,13.124,3.322,1.689,29.72
372.0,96.75,13.147,3.169,1.664,30.04
375.6,96.71,13.165,3.189,1.632,30.01
379.1,96.67,13.167,3.148,1.658,30.01
382.7,96.64,13.137,3.344,1.691,29.5
386.2,96.6,13.139,3.455,1.818,29.56
389.8,96.56,13.114,3.635,1.875,30.14
393.3,96.53,13.156,3.177,1.623,29.72
396.8,96.49,13.13,3.329,1.698,29.76
400.4,96.45,13.124,3.478,1.807,29.8
403.9,96.42,13.117,3.403,1.781,29.66
407.5,96.38,13.127,3.297,1.735,29.84
411.0,96.34,13.154,3.323,1.808,29.76
414.6,96.31,13.106,3.304,1.617,29.77
418.1,96.27,13.139,3.042,1.595,29.91
421.6,96.23,13.119,3.207,1.673,29.63
425.2,96.2,13.151,3.047,1.536,30.05
428.7,96.16,13.177,2.822,1.396,29.29
432.3,96.12,13.121,3.185,1.569,30.38
435.8,96.08,13.051,3.698,1.834,29.77
439.4,96.05,13.1,3.737,1.912,30.19
442.9,96.01,13.095,3.81,1.91,30.28
446.5,95.97,13.047,3.99,2.059,30.16
450.0,95.93,13.07,3.967,1.991,30.31
453.5,95.9,13.102,3.458,1.727,29.96
457.1,95.86,13.084,3.155,1.505,29.52
460.6,95.82,13.142,2.952,1.467,29.88
464.2,95.78,13.135,2.991,1.481,30.05
467.7,95.75,13.144,2.759,1.365,29.63
471.3,95.71,13.109,2.993,1.526,29.48
474.8,95.67,13.126,2.777,1.44,29.63
478.3,95.63,13.105,3.138,1.561,29.95
481.9,95.6,13.124,3.079,1.526,29.92
485.4,95.56,13.111,2.898,1.502,30.03
489.0,95.52,13.155,2.791,1.386,29.88
492.5,95.48,13.122,3.042,1.523,29.96
496.1,95.44,13.078,3.083,1.537,29.46
499.6,95.4,13.15,2.865,1.434,30.25
503.1,95.37,13.12,2.955,1.44,29.84
506.7,95.33,13.094,3.182,1.559,30.09
510.2,95.29,13.097,3.286,1.618,29.88
513.8,95.25,13.061,3.363,1.765,29.95
517.3,95.21,13.114,2.992,1.396,29.87
520.9,95.17,13.078,2.893,1.398,30.14
524.4,95.14,13.083,3.154,1.691,30.22
527.9,95.1,13.134,2.91,1.429,29.96
531.5,95.06,13.123,3.047,1.558,30.29
535.0,95.02,13.071,3.468,1.714,29.95
538.6,94.98,13.049,3.656,1.798,30.2
542.1,94.94,13.08,3.622,1.921,30.0
545.7,94.9,13.073,3.453,1.715,30.3
549.2,94.86,13.081,3.383,1.716,30.02
552.8,94.82,13.074,3.574,1.858,30.28
556.3,94.79,13.07,3.191,1.695,30.3
559.8,94.75,13.051,3.967,1.977,29.8
563.4,94.71,13.004,3.973,2.068,30.67
566.9,94.67,13.048,4.15,2.149,30.35
570.5,94.63,12.999,4.158,2.226,30.23
574.0,94.59,13.007,4.254,2.189,29.94
577.6,94.55,13.018,4.047,2.056,30.2
581.1,94.51,13.056,3.754,1.864,29.69
584.6,94.47,13.065,3.581,1.73,30.12
588.2,94.43,13.092,3.016,1.537,29.87
591.7,94.39,13.076,3.309,1.665,30.38
595.3,94.35,13.081,3.191,1.625,29.9
598.8,94.31,13.074,3.152,1.557,30.18
602.4,94.27,13.026,3.451,1.826,30.3
605.9,94.23,13.024,3.356,1.624,30.46
609.4,94.19,13.037,3.131,1.497,29.91
613.0,94.15,13.096,2.712,1.374,29.97
616.5,94.11,13.063,3.186,1.551,29.67
620.1,94.07,13.064,3.175,1.616,29.75
623.6,94.03,13.075,3.072,1.627,29.89
627.2,93.99,13.051,3.333,1.689,30.04
630.7,93.95,13.022,3.604,1.775,29.89
634.2,93.91,13.01,3.647,1.926,30.07
637.8,93.87,13.015,3.447,1.882,30.23
641.3,93.83,13.051,3.638,1.861,30.06
644.9,93.79,13.063,3.325,1.691,30.02
648.4,93.75,13.033,3.229,1.592,29.84
652.0,93.71,13.048,3.232,1.654,30.3
655.5,93.67,13.079,2.877,1.464,30.26
659.0,93.63,13.085,3.068,1.589,30.01
662.6,93.59,13.042,3.185,1.58,29.99
666.1,93.55,13.034,3.499,1.818,30.46
669.7,93.51,13.05,3.471,1.763,30.21
673.2,93.47,13.034,2.966,1.469,29.8
676.8,93.43,13.045,3.018,1.541,29.68
680.3,93.39,13.034,3.375,1.667,29.97
683.9,93.35,13.031,3.217,1.695,30.48
687.4,93.31,13.059,3.476,1.803,30.01
690.9,93.27,13.042,3.411,1.811,30.7
694.5,93.23,13.028,3.459,1.865,30.13
698.0,93.19,12.988,3.805,1.892,30.2
701.6,93.14,13.058,3.091,1.675,30.27
705.1,93.1,13.0,3.965,1.993,30.26
708.7,93.06,13.012,3.449,1.874,30.21
712.2,93.02,12.994,3.762,1.955,30.03
715.7,92.98,12.962,3.996,2.016,30.07
719.3,92.94,13.016,3.441,1.886,29.98
722.8,92.9,13.023,3.542,1.926,30.22
726.4,92.86,13.01,3.789,1.928,30.12
729.9,92.82,13.019,3.498,1.825,29.76
733.5,92.77,13.019,3.54,1.875,30.28
737.0,92.73,13.002,3.43,1.749,30.11
740.5,92.69,13.02,3.151,1.68,29.99
744.1,92.65,13.035,3.324,1.716,29.98
747.6,92.61,13.028,3.213,1.601,29.61
751.2,92.57,12.993,3.446,1.755,30.48
754.7,92.53,13.005,3.566,1.855,30.1
758.3,92.48,13.017,3.438,1.666,30.27
761.8,92.44,13.027,3.22,1.568,30.37
765.3,92.4,13.028,3.024,1.583,30.25
768.9,92.36,13.011,3.117,1.521,30.09
772.4,92.32,13.06,2.532,1.304,29.85
776.0,92.28,13.05,3.011,1.509,30.08
779.5,92.23,13.021,3.071,1.564,30.23
783.1,92.19,12.996,3.252,1.675,30.23
786.6,92.15,13.048,2.633,1.379,29.8
790.1,92.11,13.004,2.926,1.545,30.09
793.7,92.07,13.021,3.003,1.565,30.1
797.2,92.02,13.003,3.143,1.629,30.22
800.8,91.98,13.021,3.157,1.584,30.13
804.3,91.94,13.008,3.134,1.6,30.36
807.9,91.9,13.04,2.828,1.398,30.02
811.4,91.86,13.059,2.814,1.396,30.15
815.0,91.81,13.025,2.702,1.333,29.94
818.5,91.77,13.004,2.872,1.444,29.88
822.0,91.73,13.022,2.892,1.466,29.81
825.6,91.69,12.997,3.132,1.536,30.06
829.1,91.64,13.008,2.989,1.505,30.15
832.7,91.6,13.01,2.745,1.348,30.22
836.2,91.56,13.05,2.36,1.25,29.81
839.8,91.52,13.014,2.82,1.365,29.88
843.3,91.47,12.977,2.824,1.454,29.89
846.8,91.43,12.999,2.951,1.401,30.31
850.4,91.39,12.996,3.127,1.577,30.13
853.9,91.35,13.002,3.223,1.618,30.04
857.5,91.3,12.979,3.13,1.474,30.26
861.0,91.26,12.995,2.772,1.258,29.72
864.6,91.22,13.047,2.405,1.198,29.88
868.1,91.18,12.974,3.139,1.474,30.11
871.6,91.13,12.993,2.981,1.485,30.04
875.2,91.09,13.022,2.585,1.287,29.69
878.7,91.05,12.993,3.102,1.581,30.31
882.3,91.0,12.995,2.86,1.442,30.38
885.8,90.96,12.98,2.81,1.423,29.74
889.4,90.92,13.003,2.957,1.56,30.09
892.9,90.87,12.962,3.232,1.667,30.3
896.4,90.83,12.968,3.096,1.552,30.58
900.0,90.79,13.016,2.924,1.486,29.98
903.5,90.75,13.011,2.69,1.335,29.79
907.1,90.7,12.967,2.902,1.354,30.06
910.6,90.66,12.965,3.07,1.458,30.53
914.2,90.62,12.942,3.491,1.733,30.28
917.7,90.57,12.923,3.656,1.864,30.38
921.2,90.53,12.917,3.431,1.733,30.62
924.8,90.49,12.982,3.037,1.512,29.68
928.3,90.44,12.989,2.896,1.505,29.63
931.9,90.4,12.982,2.846,1.461,30.24
935.4,90.36,12.966,2.929,1.453,30.25
939.0,90.31,12.967,3.044,1.549,29.84
942.5,90.27,12.987,2.803,1.475,30.15
946.1,90.23,12.945,3.044,1.55,30.14
949.6,90.18,12.952,3.089,1.597,30.2
953.1,90.14,12.952,3.003,1.523,29.96
956.7,90.09,12.978,2.888,1.428,29.99
960.2,90.05,12.989,2.558,1.322,29.79
963.8,90.01,12.946,2.856,1.454,30.09
967.3,89.96,12.981,2.433,1.159,29.88
970.9,89.92,13.007,2.595,1.261,30.34
974.4,89.88,12.942,2.934,1.485,30.24
977.9,89.83,12.986,2.482,1.217,29.63
981.5,89.79,12.965,2.609,1.346,30.09
985.0,89.74,12.999,2.502,1.29,30.26
988.6,89.7,12.971,2.613,1.339,30.07
992.1,89.66,12.972,2.48,1.252,30.19
995.7,89.61,12.939,2.81,1.319,30.07
999.2,89.57,12.921,3.324,1.628,30.41
1002.7,89.52,12.933,3.382,1.719,30.09
1006.3,89.48,12.899,3.888,1.948,30.63
1009.8,89.44,12.876,3.73,1.923,30.13
1013.4,89.39,12.915,3.805,2.016,30.7
1016.9,89.35,12.885,3.818,1.953,30.14
1020.5,89.3,12.875,3.75,1.888,29.99
1024.0,89.26,12.919,3.307,1.66,30.38
1027.5,89.22,12.918,3.111,1.61,30.17
1031.1,89.17,12.902,3.363,1.634,30.32
1034.6,89.13,12.902,3.325,1.657,30.37
1038.2,89.08,12.927,3.032,1.492,30.18
1041.7,89.04,12.919,3.034,1.543,30.01
1045.3,88.99,12.912,2.818,1.329,30.16
1048.8,88.95,12.952,2.716,1.251,30.15
1052.4,88.91,12.943,2.576,1.219,30.13
1055.9,88.86,12.941,3.029,1.467,30.6
1059.4,88.82,12.94,2.856,1.4,29.98
1063.0,88.77,12.931,2.997,1.513,30.2
1066.5,88.73,12.915,3.124,1.443,30.35
1070.1,88.68,12.972,2.438,1.156,29.9
1073.6,88.64,12.936,2.596,1.257,29.81
1077.2,88.59,12.923,2.624,1.28,29.95
1080.7,88.55,12.898,3.372,1.518,30.55
1084.2,88.5,12.847,3.398,1.705,30.28
1087.8,88.46,12.885,3.351,1.743,30.45
1091.3,88.42,12.885,3.493,1.754,30.23
1094.9,88.37,12.877,3.434,1.834,30.45
1098.4,88.33,12.905,3.369,1.759,30.2
1102.0,88.28,12.888,3.496,1.884,30.21
1105.5,88.24,12.883,3.402,1.755,30.38
1109.0,88.19,12.877,3.352,1.767,30.35
1112.6,88.15,12.901,3.319,1.71,30.63
1116.1,88.1,12.865,3.436,1.801,30.04
1119.7,88.06,12.872,3.368,1.767,30.45
1123.2,88.01,12.869,3.696,1.907,30.8
1126.8,87.97,12.863,3.738,1.995,30.76
1130.3,87.92,12.893,3.578,1.901,30.35
1133.8,87.88,12.841,3.84,1.933,30.38
1137.4,87.83,12.839,3.422,1.664,30.28
1140.9,87.79,12.893,3.165,1.589,30.35
1144.5,87.74,12.874,3.609,1.847,30.49
1148.0,87.7,12.842,3.757,1.967,30.58
1151.6,87.65,12.883,3.486,1.888,30.53
1155.1,87.61,12.875,3.664,1.923,30.26
1158.6,87.56,12.833,3.7,1.937,30.26
1162.2,87.52,12.83,3.775,2.017,30.27
1165.7,87.47,12.816,3.79,2.01,30.25
1169.3,87.43,12.852,3.642,1.864,30.46
1172.8,87.38,12.862,3.487,1.691,30.49
1176.4,87.34,12.874,3.238,1.68,30.86
1179.9,87.29,12.827,3.522,1.782,30.55
1183.5,87.24,12.817,3.799,1.966,30.54
1187.0,87.2,12.829,3.404,1.727,30.69
1190.5,87.15,12.814,3.572,1.814,30.31
1194.1,87.11,12.818,3.565,1.825,30.53
1197.6,87.06,12.848,2.978,1.44,30.46
1201.2,87.02,12.871,2.924,1.348,30.41
1204.7,86.97,12.89,2.741,1.399,30.26
1208.3,86.93,12.896,2.674,1.374,30.09
1211.8,86.88,12.881,2.733,1.384,29.93
1215.3,86.84,12.871,2.719,1.346,30.15
1218.9,86.79,12.883,2.67,1.381,30.04
1222.4,86.74,12.895,2.596,1.235,30.28
1226.0,86.7,12.895,2.344,1.158,30.03
1229.5,86.65,12.873,2.778,1.281,30.33
1233.1,86.61,12.843,3.158,1.514,30.02
1236.6,86.56,12.831,3.286,1.678,30.59
1240.1,86.52,12.84,3.264,1.735,30.21
1243.7,86.47,12.824,3.205,1.73,30.05
1247.2,86.43,12.857,3.188,1.555,30.08
1250.8,86.38,12.834,2.879,1.517,30.13
1254.3,86.33,12.866,2.848,1.442,30.48
1257.9,86.29,12.803,3.4,1.653,30.59
1261.4,86.24,12.863,3.114,1.642,30.11
1264.9,86.2,12.841,3.298,1.648,30.43
1268.5,86.15,12.806,3.426,1.818,30.44
1272.0,86.11,12.817,3.31,1.649,30.1
1275.6,86.06,12.814,3.168,1.635,30.17
1279.1,86.01,12.825,3.237,1.711,29.98
1282.7,85.97,12.824,3.352,1.607,30.26
1286.2,85.92,12.891,2.763,1.413,29.7
1289.8,85.88,12.817,2.966,1.554,30.15
1293.3,85.83,12.85,3.064,1.552,30.16
1296.8,85.78,12.801,3.388,1.735,30.3
1300.4,85.74,12.823,3.231,1.633,30.24
1303.9,85.69,12.843,3.024,1.392,30.58
1307.5,85.65,12.864,2.557,1.188,30.11
1311.0,85.6,12.857,2.622,1.163,30.25
1314.6,85.55,12.83,2.899,1.424,30.46
1318.1,85.51,12.819,3.099,1.48,30.56
1321.6,85.46,12.808,3.313,1.752,30.59
1325.2,85.42,12.827,3.229,1.681,30.31
1328.7,85.37,12.785,3.235,1.659,30.2
1332.3,85.32,12.805,3.125,1.583,30.23
1335.8,85.28,12.798,3.025,1.567,30.26
1339.4,85.23,12.797,3.09,1.558,30.39
1342.9,85.19,12.783,3.342,1.742,30.46
1346.4,85.14,12.818,3.225,1.696,30.66
1350.0,85.09,12.823,3.381,1.698,30.47
1353.5,85.05,12.834,2.986,1.481,30.72
1357.1,85.0,12.782,3.163,1.563,30.63
1360.6,84.95,12.785,3.421,1.67,30.41
1364.2,84.91,12.748,3.713,1.843,30.79
1367.7,84.86,12.78,3.554,1.917,29.98
1371.2,84.82,12.806,3.307,1.696,30.76
1374.8,84.77,12.79,3.373,1.714,30.59
1378.3,84.72,12.819,2.946,1.48,30.44
1381.9,84.68,12.795,3.069,1.482,30.06
1385.4,84.63,12.737,3.537,1.692,31.09
1389.0,84.58,12.712,3.926,1.937,30.66
1392.5,84.54,12.721,4.233,2.219,30.79
1396.0,84.49,12.74,4.066,2.118,30.99
1399.6,84.45,12.744,4.163,2.25,30.76
1403.1,84.4,12.728,3.99,2.095,30.56
1406.7,84.35,12.732,4.005,2.066,30.88
1410.2,84.31,12.738,3.933,1.966,30.52
1413.8,84.26,12.774,3.516,1.698,30.73
1417.3,84.21,12.772,3.248,1.658,30.52
1420.9,84.17,12.737,3.537,1.785,30.82
1424.4,84.12,12.773,3.481,1.826,30.33
1427.9,84.07,12.756,3.563,1.907,30.86
1431.5,84.03,12.746,3.706,1.901,30.72
1435.0,83.98,12.757,3.075,1.685,30.84
1438.6,83.94,12.743,3.602,1.788,30.49
1442.1,83.89,12.692,3.99,2.01,31.14
1445.7,83.84,12.686,3.989,2.055,30.91
1449.2,83.8,12.743,3.478,1.76,30.75
1452.7,83.75,12.738,3.493,1.78,30.45
1456.3,83.7,12.765,3.273,1.701,30.63
1459.8,83.66,12.77,3.396,1.721,30.7
1463.4,83.61,12.741,3.478,1.622,30.43
1466.9,83.56,12.799,2.956,1.356,30.18
1470.5,83.52,12.788,2.507,1.18,30.1
1474.0,83.47,12.806,2.531,1.214,30.57
1477.5,83.42,12.765,2.656,1.318,30.35
1481.1,83.38,12.806,2.318,1.134,30.39
1484.6,83.33,12.774,2.714,1.348,30.4
1488.2,83.28,12.78,2.616,1.253,30.33
1491.7,83.24,12.779,2.822,1.438,30.43
1495.3,83.19,12.726,3.041,1.523,30.38
1498.8,83.14,12.744,3.225,1.657,30.78
1502.3,83.1,12.738,3.067,1.514,30.51
1505.9,83.05,12.781,2.567,1.283,30.35
1509.4,83.0,12.773,2.744,1.437,30.08
1513.0,82.96,12.762,2.712,1.285,30.42
1516.5,82.91,12.769,2.574,1.182,30.17
1520.1,82.86,12.777,2.222,1.019,30.09
1523.6,82.82,12.779,2.593,1.23,30.53
1527.2,82.77,12.765,2.49,1.222,30.06
1530.7,82.72,12.796,2.248,1.02,30.16
1534.2,82.68,12.778,2.046,0.962,30.27
1537.8,82.63,12.809,2.227,0.994,30.44
1541.3,82.58,12.774,2.164,1.103,30.08
1544.9,82.54,12.785,2.52,1.177,30.37
1548.4,82.49,12.75,2.662,1.353,30.42
1552.0,82.44,12.752,2.869,1.448,30.2
1555.5,82.4,12.747,2.751,1.354,29.96
1559.0,82.35,12.728,3.251,1.561,30.18
1562.6,82.3,12.703,3.48,1.731,30.78
1566.1,82.26,12.714,3.598,1.777,30.72
1569.7,82.21,12.745,2.897,1.373,30.18
1573.2,82.16,12.757,2.686,1.303,30.25
1576.8,82.12,12.777,2.581,1.207,30.27
1580.3,82.07,12.756,2.295,1.147,30.18
1583.8,82.02,12.772,2.527,1.209,30.33
1587.4,81.98,12.747,2.607,1.359,30.82
1590.9,81.93,12.715,2.715,1.277,30.24
1594.5,81.88,12.764,2.376,1.172,30.32
1598.0,81.84,12.721,2.893,1.405,30.31
1601.6,81.79,12.735,3.115,1.552,30.42
1605.1,81.74,12.698,3.162,1.692,30.39
1608.6,81.69,12.712,3.04,1.552,30.48
1612.2,81.65,12.709,3.114,1.566,30.44
1615.7,81.6,12.672,3.166,1.556,30.65
1619.3,81.55,12.683,3.565,1.763,30.76
1622.8,81.51,12.664,3.476,1.749,30.51
1626.4,81.46,12.715,3.22,1.696,30.99
1629.9,81.41,12.718,3.211,1.653,30.36
1633.4,81.37,12.681,3.389,1.718,30.74
1637.0,81.32,12.656,3.367,1.656,31.1
1640.5,81.27,12.697,3.125,1.673,30.43
1644.1,81.23,12.687,3.264,1.721,30.9
1647.6,81.18,12.678,3.528,1.845,31.01
1651.2,81.13,12.666,3.442,1.726,30.76
1654.7,81.09,12.684,2.889,1.516,30.13
1658.3,81.04,12.676,3.273,1.662,30.93
1661.8,80.99,12.672,3.117,1.638,30.61
1665.3,80.94,12.709,3.164,1.736,30.49
1668.9,80.9,12.66,3.317,1.699,30.92
1672.4,80.85,12.639,3.664,1.878,30.64
1676.0,80.8,12.644,3.71,1.898,31.02
1679.5,80.76,12.611,3.938,2.028,30.77
1683.1,80.71,12.628,3.827,2.02,30.96
1686.6,80.66,12.634,3.795,1.979,30.62
1690.1,80.62,12.645,3.497,1.842,30.66
1693.7,80.57,12.62,3.945,2.095,30.71
1697.2,80.52,12.639,3.989,2.129,30.77
1700.8,80.48,12.629,3.921,2.001,30.93
1704.3,80.43,12.608,3.793,1.962,30.81
1707.9,80.38,12.623,3.759,1.9,30.88
1711.4,80.33,12.635,3.832,1.999,31.13
1714.9,80.29,12.618,3.746,2.072,30.82
1718.5,80.24,12.622,3.841,2.015,30.5
1722.0,80.19,12.61,3.989,2.073,30.87
1725.6,80.15,12.64,3.61,1.954,30.82
1729.1,80.1,12.62,3.737,2.026,31.05
1732.7,80.05,12.603,4.013,2.071,31.15
1736.2,80.01,12.569,4.368,2.26,31.26
1739.7,79.96,12.593,4.251,2.289,30.99
1743.3,79.91,12.582,4.083,2.09,31.11
1746.8,79.86,12.648,3.638,1.918,30.53
1750.4,79.82,12.623,3.597,1.937,31.07
1753.9,79.77,12.614,3.668,1.998,30.93
1757.5,79.72,12.623,3.748,1.974,30.97
1761.0,79.68,12.615,3.632,1.943,30.75
1764.5,79.63,12.611,3.726,1.984,30.87
1768.1,79.58,12.63,3.347,1.846,30.6
1771.6,79.54,12.598,3.686,1.881,30.97
1775.2,79.49,12.603,3.523,1.854,30.53
1778.7,79.44,12.584,3.879,2.046,31.12
1782.3,79.39,12.618,3.757,1.965,31.0
1785.8,79.35,12.608,3.461,1.77,31.2
1789.4,79.3,12.614,3.393,1.834,30.75
1792.9,79.25,12.619,3.278,1.698,30.7
1796.4,79.21,12.624,3.462,1.776,30.83
1800.0,79.16,12.629,3.683,1.89,30.88
1803.5,79.11,12.585,3.643,1.863,30.84
1807.1,79.07,12.636,3.149,1.512,30.46
1810.6,79.02,12.647,2.833,1.361,30.35
1814.2,78.97,12.649,2.668,1.174,30.41
1817.7,78.92,12.695,2.08,1.067,30.26
1821.2,78.88,12.643,2.475,1.224,30.22
1824.8,78.83,12.689,2.233,1.03,30.14
1828.3,78.78,12.693,1.979,0.896,30.23
1831.9,78.74,12.673,1.982,0.883,30.44
1835.4,78.69,12.69,2.332,1.043,30.38
1839.0,78.64,12.665,2.544,1.241,30.63
1842.5,78.59,12.679,2.356,1.157,30.63
1846.0,78.55,12.637,2.375,1.212,30.6
1849.6,78.5,12.65,2.425,1.173,30.37
1853.1,78.45,12.67,2.016,1.036,30.23
1856.7,78.41,12.653,2.561,1.229,30.13
1860.2,78.36,12.661,2.59,1.303,30.38
1863.8,78.31,12.634,2.181,1.079,30.48
1867.3,78.27,12.632,2.684,1.277,30.34
1870.8,78.22,12.635,2.58,1.272,30.8
1874.4,78.17,12.633,2.872,1.347,30.92
1877.9,78.12,12.588,3.345,1.627,30.72
1881.5,78.08,12.59,2.962,1.611,30.85
1885.0,78.03,12.602,3.016,1.528,30.4
1888.6,77.98,12.582,3.12,1.548,30.51
1892.1,77.94,12.563,3.479,1.781,30.78
1895.6,77.89,12.589,3.232,1.745,30.77
1899.2,77.84,12.561,3.537,1.807,30.84
1902.7,77.79,12.565,3.646,1.876,30.74
1906.3,77.75,12.54,3.581,1.84,31.3
1909.8,77.7,12.601,3.525,1.833,30.94
1913.4,77.65,12.568,3.779,1.956,31.03
1916.9,77.61,12.561,3.725,1.933,31.09
1920.5,77.56,12.516,3.936,1.921,31.07
1924.0,77.51,12.542,3.264,1.605,30.75
1927.5,77.47,12.548,3.478,1.757,30.76
1931.1,77.42,12.552,3.552,1.842,30.57
1934.6,77.37,12.583,3.631,1.872,31.24
1938.2,77.32,12.557,3.809,1.998,30.81
1941.7,77.28,12.536,3.671,1.951,30.61
1945.3,77.23,12.545,3.934,2.072,30.88
1948.8,77.18,12.55,3.837,1.954,30.69
1952.3,77.14,12.555,3.421,1.676,31.28
1955.9,77.09,12.606,2.858,1.44,30.75
1959.4,77.04,12.577,3.082,1.617,31.04
1963.0,76.99,12.568,2.957,1.49,31.01
1966.5,76.95,12.571,2.753,1.448,30.76
1970.1,76.9,12.589,2.713,1.308,30.75
1973.6,76.85,12.608,2.651,1.304,30.46
1977.1,76.81,12.59,2.322,1.155,30.48
1980.7,76.76,12.569,2.586,1.27,30.47
1984.2,76.71,12.605,2.51,1.23,30.58
1987.8,76.66,12.544,2.685,1.367,30.49
1991.3,76.62,12.602,2.848,1.346,30.95
1994.9,76.57,12.563,2.899,1.469,30.87
1998.4,76.52,12.573,3.007,1.503,30.73
2001.9,76.48,12.592,2.951,1.421,30.39
2005.5,76.43,12.534,3.056,1.586,30.91
2009.0,76.38,12.542,2.992,1.524,30.93
